"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.77,0.672,5,-4.456,1,0.035,0.231,0.00000837,0.096,0.89,137.046,audio_features,4kL0AU6EYOAQkkPgCs1JEg,spotify:track:4kL0AU6EYOAQkkPgCs1JEg,https://api.spotify.com/v1/tracks/4kL0AU6EYOAQkkPgCs1JEg,https://api.spotify.com/v1/audio-analysis/4kL0AU6EYOAQkkPgCs1JEg,403541,4
0.629,0.671,11,-5.4,0,0.0261,0.0487,0.000393,0.114,0.619,140.027,audio_features,6Dux2uD0hkFgfYKIqrBkPs,spotify:track:6Dux2uD0hkFgfYKIqrBkPs,https://api.spotify.com/v1/tracks/6Dux2uD0hkFgfYKIqrBkPs,https://api.spotify.com/v1/audio-analysis/6Dux2uD0hkFgfYKIqrBkPs,308377,4
0.699,0.744,2,-4.629,0,0.0282,0.452,0.0371,0.0909,0.679,139.994,audio_features,7dLoiMZr16cC5rAVaPS0oh,spotify:track:7dLoiMZr16cC5rAVaPS0oh,https://api.spotify.com/v1/tracks/7dLoiMZr16cC5rAVaPS0oh,https://api.spotify.com/v1/audio-analysis/7dLoiMZr16cC5rAVaPS0oh,324024,4
0.682,0.733,0,-3.8,0,0.0265,0.186,0.000251,0.173,0.459,139.985,audio_features,02dPF5X2XkRSRJ4H4ZEFSZ,spotify:track:02dPF5X2XkRSRJ4H4ZEFSZ,https://api.spotify.com/v1/tracks/02dPF5X2XkRSRJ4H4ZEFSZ,https://api.spotify.com/v1/audio-analysis/02dPF5X2XkRSRJ4H4ZEFSZ,308612,4
0.688,0.852,11,-4.565,0,0.038,0.184,0.0000615,0.165,0.636,154.991,audio_features,00W8ib7oShKnYn6Ntn1IIr,spotify:track:00W8ib7oShKnYn6Ntn1IIr,https://api.spotify.com/v1/tracks/00W8ib7oShKnYn6Ntn1IIr,https://api.spotify.com/v1/audio-analysis/00W8ib7oShKnYn6Ntn1IIr,274705,4
0.715,0.687,4,-4.742,1,0.0268,0.287,0.00521,0.0811,0.429,135.021,audio_features,5CfjmNx7IBFhKGjDc8lfMo,spotify:track:5CfjmNx7IBFhKGjDc8lfMo,https://api.spotify.com/v1/tracks/5CfjmNx7IBFhKGjDc8lfMo,https://api.spotify.com/v1/audio-analysis/5CfjmNx7IBFhKGjDc8lfMo,278937,4
0.817,0.671,11,-5.819,1,0.0359,0.335,0.000119,0.169,0.812,139.998,audio_features,4XLrTKPLOGA4k58yGl2dSe,spotify:track:4XLrTKPLOGA4k58yGl2dSe,https://api.spotify.com/v1/tracks/4XLrTKPLOGA4k58yGl2dSe,https://api.spotify.com/v1/audio-analysis/4XLrTKPLOGA4k58yGl2dSe,311694,4
0.769,0.678,7,-4.616,0,0.0311,0.292,0.0166,0.54,0.658,130.919,audio_features,0iOfsTuw2KLsS5KzexGbB3,spotify:track:0iOfsTuw2KLsS5KzexGbB3,https://api.spotify.com/v1/tracks/0iOfsTuw2KLsS5KzexGbB3,https://api.spotify.com/v1/audio-analysis/0iOfsTuw2KLsS5KzexGbB3,240171,4
0.623,0.753,2,-5.028,1,0.0307,0.618,0.00619,0.215,0.64,170.018,audio_features,4491vDt3IZlWn3cCHRncXm,spotify:track:4491vDt3IZlWn3cCHRncXm,https://api.spotify.com/v1/tracks/4491vDt3IZlWn3cCHRncXm,https://api.spotify.com/v1/audio-analysis/4491vDt3IZlWn3cCHRncXm,283821,4
0.683,0.708,2,-3.989,1,0.0308,0.44,0.00203,0.154,0.712,94.962,audio_features,5baUlV4qmAZehFjoBJk8ch,spotify:track:5baUlV4qmAZehFjoBJk8ch,https://api.spotify.com/v1/tracks/5baUlV4qmAZehFjoBJk8ch,https://api.spotify.com/v1/audio-analysis/5baUlV4qmAZehFjoBJk8ch,339488,4
0.638,0.776,2,-4.39,0,0.0265,0.335,0.014,0.0717,0.721,150.09,audio_features,0w8nUSkDS6tWGzUg4lgCED,spotify:track:0w8nUSkDS6tWGzUg4lgCED,https://api.spotify.com/v1/tracks/0w8nUSkDS6tWGzUg4lgCED,https://api.spotify.com/v1/audio-analysis/0w8nUSkDS6tWGzUg4lgCED,347377,4
0.6,0.716,9,-4.19,1,0.042,0.505,0.138,0.0983,0.954,175.065,audio_features,6icCmpRUixzy9Xm5aBzVmu,spotify:track:6icCmpRUixzy9Xm5aBzVmu,https://api.spotify.com/v1/tracks/6icCmpRUixzy9Xm5aBzVmu,https://api.spotify.com/v1/audio-analysis/6icCmpRUixzy9Xm5aBzVmu,264491,4
0.677,0.761,9,-4.471,1,0.029,0.481,0.0139,0.358,0.787,150.015,audio_features,5Pr0fSakzC7UaH5LdR4qMh,spotify:track:5Pr0fSakzC7UaH5LdR4qMh,https://api.spotify.com/v1/tracks/5Pr0fSakzC7UaH5LdR4qMh,https://api.spotify.com/v1/audio-analysis/5Pr0fSakzC7UaH5LdR4qMh,275723,4
