"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.684,0.94,2,-2.701,1,0.0295,0.0257,0.000299,0.147,0.811,140.061,audio_features,6fAMXCztHNv2eD6ruL16c1,spotify:track:6fAMXCztHNv2eD6ruL16c1,https://api.spotify.com/v1/tracks/6fAMXCztHNv2eD6ruL16c1,https://api.spotify.com/v1/audio-analysis/6fAMXCztHNv2eD6ruL16c1,295759,4
0.753,0.822,2,-2.897,0,0.0286,0.222,0.000141,0.152,0.763,132.031,audio_features,4STZBqTWMdIX4OnNWD8EH6,spotify:track:4STZBqTWMdIX4OnNWD8EH6,https://api.spotify.com/v1/tracks/4STZBqTWMdIX4OnNWD8EH6,https://api.spotify.com/v1/audio-analysis/4STZBqTWMdIX4OnNWD8EH6,372272,4
0.672,0.894,5,-3.683,1,0.0343,0.0816,0.00282,0.141,0.77,95.002,audio_features,0upJopdDRNDGfS78EuPbiv,spotify:track:0upJopdDRNDGfS78EuPbiv,https://api.spotify.com/v1/tracks/0upJopdDRNDGfS78EuPbiv,https://api.spotify.com/v1/audio-analysis/0upJopdDRNDGfS78EuPbiv,365088,4
0.74,0.848,1,-2.705,1,0.0348,0.0415,0.0000142,0.294,0.804,102.469,audio_features,6srmuMO0pM0pk33zmfRCxp,spotify:track:6srmuMO0pM0pk33zmfRCxp,https://api.spotify.com/v1/tracks/6srmuMO0pM0pk33zmfRCxp,https://api.spotify.com/v1/audio-analysis/6srmuMO0pM0pk33zmfRCxp,288968,4
0.851,0.842,0,-3.333,1,0.0357,0.027,0.00000144,0.054,0.898,140.022,audio_features,3FNBB0LWvXBP3aRgoqRkb1,spotify:track:3FNBB0LWvXBP3aRgoqRkb1,https://api.spotify.com/v1/tracks/3FNBB0LWvXBP3aRgoqRkb1,https://api.spotify.com/v1/audio-analysis/3FNBB0LWvXBP3aRgoqRkb1,287557,4
0.76,0.762,2,-2.975,0,0.0339,0.153,0.000094,0.062,0.697,134.998,audio_features,7xsRRJYIvqTLmY2LFkf3sN,spotify:track:7xsRRJYIvqTLmY2LFkf3sN,https://api.spotify.com/v1/tracks/7xsRRJYIvqTLmY2LFkf3sN,https://api.spotify.com/v1/audio-analysis/7xsRRJYIvqTLmY2LFkf3sN,319949,4
0.779,0.782,2,-3.187,0,0.0292,0.0236,0.0000138,0.121,0.618,130.044,audio_features,7xOVFdqSBMEHvNt1m1lcBR,spotify:track:7xOVFdqSBMEHvNt1m1lcBR,https://api.spotify.com/v1/tracks/7xOVFdqSBMEHvNt1m1lcBR,https://api.spotify.com/v1/audio-analysis/7xOVFdqSBMEHvNt1m1lcBR,345418,4
0.669,0.78,5,-3.302,0,0.0282,0.0881,0.045,0.0833,0.719,97.53,audio_features,7voc9eCik4tukEOzIGgE0H,spotify:track:7voc9eCik4tukEOzIGgE0H,https://api.spotify.com/v1/tracks/7voc9eCik4tukEOzIGgE0H,https://api.spotify.com/v1/audio-analysis/7voc9eCik4tukEOzIGgE0H,388912,4
0.76,0.818,7,-3.509,0,0.0293,0.112,0.00000889,0.149,0.673,130.034,audio_features,1jQwvpCrGIOvZ2BKLSQR2Z,spotify:track:1jQwvpCrGIOvZ2BKLSQR2Z,https://api.spotify.com/v1/tracks/1jQwvpCrGIOvZ2BKLSQR2Z,https://api.spotify.com/v1/audio-analysis/1jQwvpCrGIOvZ2BKLSQR2Z,268932,4
0.742,0.821,7,-2.242,0,0.0321,0.177,0.00267,0.149,0.914,137.022,audio_features,0xLahOLPnkeEKmY9NAEQMT,spotify:track:0xLahOLPnkeEKmY9NAEQMT,https://api.spotify.com/v1/tracks/0xLahOLPnkeEKmY9NAEQMT,https://api.spotify.com/v1/audio-analysis/0xLahOLPnkeEKmY9NAEQMT,333794,4
0.669,0.814,11,-3.762,0,0.0294,0.308,0.00131,0.158,0.789,139.994,audio_features,7C0jKxMfHuFGMwKVAdPKrq,spotify:track:7C0jKxMfHuFGMwKVAdPKrq,https://api.spotify.com/v1/tracks/7C0jKxMfHuFGMwKVAdPKrq,https://api.spotify.com/v1/audio-analysis/7C0jKxMfHuFGMwKVAdPKrq,336667,4
0.663,0.84,11,-3.411,0,0.0302,0.217,0.0000248,0.0981,0.937,149.936,audio_features,529yNCO5zM3YWeIwVVcyTY,spotify:track:529yNCO5zM3YWeIwVVcyTY,https://api.spotify.com/v1/tracks/529yNCO5zM3YWeIwVVcyTY,https://api.spotify.com/v1/audio-analysis/529yNCO5zM3YWeIwVVcyTY,295524,4
0.77,0.762,7,-2.969,0,0.0403,0.148,0.000105,0.0861,0.931,145.008,audio_features,7akQCoKYpxxhPHuctvWGQW,spotify:track:7akQCoKYpxxhPHuctvWGQW,https://api.spotify.com/v1/tracks/7akQCoKYpxxhPHuctvWGQW,https://api.spotify.com/v1/audio-analysis/7akQCoKYpxxhPHuctvWGQW,273085,4
