"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.571,0.799,0,-2.304,0,0.0285,0.771,0.0000114,0.141,0.715,133.012,audio_features,1knKzGBsCk61z4UsOGb1y6,spotify:track:1knKzGBsCk61z4UsOGb1y6,https://api.spotify.com/v1/tracks/1knKzGBsCk61z4UsOGb1y6,https://api.spotify.com/v1/audio-analysis/1knKzGBsCk61z4UsOGb1y6,367520,4,eny-sagita,Ngamen 2 (Anak Lanang)
0.621,0.671,2,-4.594,0,0.0326,0.907,0.000629,0.104,0.563,133.049,audio_features,0l6L19RjhYCXkN4WROnbzM,spotify:track:0l6L19RjhYCXkN4WROnbzM,https://api.spotify.com/v1/tracks/0l6L19RjhYCXkN4WROnbzM,https://api.spotify.com/v1/audio-analysis/0l6L19RjhYCXkN4WROnbzM,389027,4,eny-sagita,Nasib Pengamen
0.484,0.526,2,-4.865,1,0.0294,0.94,0.00511,0.113,0.564,132.905,audio_features,34peze4H1xI6AxTP4hb1oL,spotify:track:34peze4H1xI6AxTP4hb1oL,https://api.spotify.com/v1/tracks/34peze4H1xI6AxTP4hb1oL,https://api.spotify.com/v1/audio-analysis/34peze4H1xI6AxTP4hb1oL,304360,4,eny-sagita,Nagih Janji
0.424,0.594,2,-5.414,1,0.0326,0.907,0.0685,0.118,0.508,135.508,audio_features,5Ki0PzulqUDfXMJypAAWKH,spotify:track:5Ki0PzulqUDfXMJypAAWKH,https://api.spotify.com/v1/tracks/5Ki0PzulqUDfXMJypAAWKH,https://api.spotify.com/v1/audio-analysis/5Ki0PzulqUDfXMJypAAWKH,403187,4,eny-sagita,Kumpul Anak Bojo
0.668,0.733,0,-3.317,0,0.0376,0.419,0,0.186,0.875,138.919,audio_features,2D5Y4teeTReesbddcLOCvr,spotify:track:2D5Y4teeTReesbddcLOCvr,https://api.spotify.com/v1/tracks/2D5Y4teeTReesbddcLOCvr,https://api.spotify.com/v1/audio-analysis/2D5Y4teeTReesbddcLOCvr,241507,4,eny-sagita,Mbah Marijan
0.22,0.652,5,-3.352,0,0.0368,0.487,0.00000642,0.124,0.622,159.177,audio_features,2pQqHiu0uAHmmBoAtG41Fl,spotify:track:2pQqHiu0uAHmmBoAtG41Fl,https://api.spotify.com/v1/tracks/2pQqHiu0uAHmmBoAtG41Fl,https://api.spotify.com/v1/audio-analysis/2pQqHiu0uAHmmBoAtG41Fl,314760,4,eny-sagita,Lilo
0.393,0.583,10,-4.938,1,0.0305,0.896,0.0112,0.102,0.576,133.462,audio_features,2yeMGM5XcPv7QaltZErv4l,spotify:track:2yeMGM5XcPv7QaltZErv4l,https://api.spotify.com/v1/tracks/2yeMGM5XcPv7QaltZErv4l,https://api.spotify.com/v1/audio-analysis/2yeMGM5XcPv7QaltZErv4l,363587,4,eny-sagita,Cinta Terisolasi
0.297,0.643,7,-2.766,0,0.0303,0.817,0.0000261,0.117,0.651,135.007,audio_features,006ej5hXC7h5WbVZOiugpp,spotify:track:006ej5hXC7h5WbVZOiugpp,https://api.spotify.com/v1/tracks/006ej5hXC7h5WbVZOiugpp,https://api.spotify.com/v1/audio-analysis/006ej5hXC7h5WbVZOiugpp,382413,4,eny-sagita,Sutradara Cinta
0.351,0.596,0,-4.461,0,0.0296,0.578,0.00248,0.331,0.613,141.939,audio_features,59a5FxThzrSNwCoozJLJrE,spotify:track:59a5FxThzrSNwCoozJLJrE,https://api.spotify.com/v1/tracks/59a5FxThzrSNwCoozJLJrE,https://api.spotify.com/v1/audio-analysis/59a5FxThzrSNwCoozJLJrE,431107,4,eny-sagita,Lingsi Trisno
0.404,0.613,5,-4.649,0,0.0349,0.874,0.000184,0.207,0.695,128.187,audio_features,4qjyaYw1ddqCMMc7A5SrT4,spotify:track:4qjyaYw1ddqCMMc7A5SrT4,https://api.spotify.com/v1/tracks/4qjyaYw1ddqCMMc7A5SrT4,https://api.spotify.com/v1/audio-analysis/4qjyaYw1ddqCMMc7A5SrT4,306653,4,eny-sagita,Layang Kangen
