"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.531,0.831,9,-3.019,0,0.0306,0.134,0.00000867,0.323,0.355,170.045,audio_features,1bFEvVP238KdWISvNUGsd8,spotify:track:1bFEvVP238KdWISvNUGsd8,https://api.spotify.com/v1/tracks/1bFEvVP238KdWISvNUGsd8,https://api.spotify.com/v1/audio-analysis/1bFEvVP238KdWISvNUGsd8,399662,4
0.668,0.668,5,-3.136,0,0.028,0.146,0,0.0808,0.189,122.967,audio_features,7iEICpugLGMIYnH6KgKSTy,spotify:track:7iEICpugLGMIYnH6KgKSTy,https://api.spotify.com/v1/tracks/7iEICpugLGMIYnH6KgKSTy,https://api.spotify.com/v1/audio-analysis/7iEICpugLGMIYnH6KgKSTy,273090,4
0.633,0.724,9,-3.721,0,0.0274,0.258,0.00000179,0.0968,0.225,119.97,audio_features,3duYZ0WdOCuOxZt8xAv93M,spotify:track:3duYZ0WdOCuOxZt8xAv93M,https://api.spotify.com/v1/tracks/3duYZ0WdOCuOxZt8xAv93M,https://api.spotify.com/v1/audio-analysis/3duYZ0WdOCuOxZt8xAv93M,257974,4
0.649,0.693,9,-4.541,0,0.0259,0.0262,0.00000114,0.159,0.399,119.979,audio_features,4nzZ6knVi56EYyhjSnVKXO,spotify:track:4nzZ6knVi56EYyhjSnVKXO,https://api.spotify.com/v1/tracks/4nzZ6knVi56EYyhjSnVKXO,https://api.spotify.com/v1/audio-analysis/4nzZ6knVi56EYyhjSnVKXO,312266,4
0.655,0.638,5,-3.8,0,0.024,0.393,0.00000151,0.163,0.183,97.984,audio_features,1XTM4faou2zo575ktmG2oB,spotify:track:1XTM4faou2zo575ktmG2oB,https://api.spotify.com/v1/tracks/1XTM4faou2zo575ktmG2oB,https://api.spotify.com/v1/audio-analysis/1XTM4faou2zo575ktmG2oB,333322,4
0.681,0.665,2,-4.468,0,0.0244,0.17,0,0.263,0.31,133.06,audio_features,6pceJP0k6OzFUlzy2RKM0N,spotify:track:6pceJP0k6OzFUlzy2RKM0N,https://api.spotify.com/v1/tracks/6pceJP0k6OzFUlzy2RKM0N,https://api.spotify.com/v1/audio-analysis/6pceJP0k6OzFUlzy2RKM0N,367781,4
0.727,0.587,2,-4.713,0,0.0274,0.288,0,0.316,0.512,128.016,audio_features,4uMLil0HtyhqTFmI2Rj0Mt,spotify:track:4uMLil0HtyhqTFmI2Rj0Mt,https://api.spotify.com/v1/tracks/4uMLil0HtyhqTFmI2Rj0Mt,https://api.spotify.com/v1/audio-analysis/4uMLil0HtyhqTFmI2Rj0Mt,382572,4
0.599,0.498,7,-5.331,0,0.0285,0.732,0,0.134,0.22,140.051,audio_features,3q9UPZcPVMT5bdzaUfaJKF,spotify:track:3q9UPZcPVMT5bdzaUfaJKF,https://api.spotify.com/v1/tracks/3q9UPZcPVMT5bdzaUfaJKF,https://api.spotify.com/v1/audio-analysis/3q9UPZcPVMT5bdzaUfaJKF,267130,4
0.697,0.645,4,-3.901,0,0.0298,0.138,0,0.146,0.198,119.933,audio_features,7cTmzSYle2o1i5AsqWi6Zw,spotify:track:7cTmzSYle2o1i5AsqWi6Zw,https://api.spotify.com/v1/tracks/7cTmzSYle2o1i5AsqWi6Zw,https://api.spotify.com/v1/audio-analysis/7cTmzSYle2o1i5AsqWi6Zw,313585,4
0.745,0.658,4,-5.373,0,0.0308,0.125,0.000988,0.0992,0.567,134.99,audio_features,5M4shiLpSPeY3fDFwPHiS0,spotify:track:5M4shiLpSPeY3fDFwPHiS0,https://api.spotify.com/v1/tracks/5M4shiLpSPeY3fDFwPHiS0,https://api.spotify.com/v1/audio-analysis/5M4shiLpSPeY3fDFwPHiS0,263927,4
0.415,0.433,0,-7.52,0,0.0264,0.451,0.0000153,0.164,0.226,149.953,audio_features,5oSM6MCi5GW30Ew82prR1t,spotify:track:5oSM6MCi5GW30Ew82prR1t,https://api.spotify.com/v1/tracks/5oSM6MCi5GW30Ew82prR1t,https://api.spotify.com/v1/audio-analysis/5oSM6MCi5GW30Ew82prR1t,319896,4
0.724,0.908,1,-5.682,1,0.0415,0.255,0.000936,0.272,0.84,133.022,audio_features,3MuDWhjCZYet4h49wnafiV,spotify:track:3MuDWhjCZYet4h49wnafiV,https://api.spotify.com/v1/tracks/3MuDWhjCZYet4h49wnafiV,https://api.spotify.com/v1/audio-analysis/3MuDWhjCZYet4h49wnafiV,291161,4
0.775,0.888,1,-8.725,0,0.037,0.137,0.00489,0.12,0.909,128.005,audio_features,4JN0V7MHbph7nqdtdhfGts,spotify:track:4JN0V7MHbph7nqdtdhfGts,https://api.spotify.com/v1/tracks/4JN0V7MHbph7nqdtdhfGts,https://api.spotify.com/v1/audio-analysis/4JN0V7MHbph7nqdtdhfGts,251455,4
0.594,0.431,2,-8.192,1,0.0309,0.83,0.00634,0.096,0.407,139.803,audio_features,3GpROpNhZMDKCJw7fysgAc,spotify:track:3GpROpNhZMDKCJw7fysgAc,https://api.spotify.com/v1/tracks/3GpROpNhZMDKCJw7fysgAc,https://api.spotify.com/v1/audio-analysis/3GpROpNhZMDKCJw7fysgAc,269568,4
0.714,0.831,2,-4.881,1,0.0982,0.124,0.00000235,0.307,0.593,139.949,audio_features,3NrxM0gENTlmjmq5CCgV9K,spotify:track:3NrxM0gENTlmjmq5CCgV9K,https://api.spotify.com/v1/tracks/3NrxM0gENTlmjmq5CCgV9K,https://api.spotify.com/v1/audio-analysis/3NrxM0gENTlmjmq5CCgV9K,300936,4
0.733,0.792,2,-5.957,1,0.0313,0.375,0.00443,0.0904,0.817,150.043,audio_features,6UdCX0w2eGOYlM80LQOczz,spotify:track:6UdCX0w2eGOYlM80LQOczz,https://api.spotify.com/v1/tracks/6UdCX0w2eGOYlM80LQOczz,https://api.spotify.com/v1/audio-analysis/6UdCX0w2eGOYlM80LQOczz,305711,4
0.783,0.711,8,-6.53,1,0.0294,0.436,0.00000553,0.0988,0.61,139.989,audio_features,49YrHdsv559T8KwBFcfqwj,spotify:track:49YrHdsv559T8KwBFcfqwj,https://api.spotify.com/v1/tracks/49YrHdsv559T8KwBFcfqwj,https://api.spotify.com/v1/audio-analysis/49YrHdsv559T8KwBFcfqwj,282958,4
0.724,0.749,2,-6.85,1,0.0453,0.556,0.0000961,0.252,0.743,151.039,audio_features,0CKJMrICpsQaLWNgTrtMEw,spotify:track:0CKJMrICpsQaLWNgTrtMEw,https://api.spotify.com/v1/tracks/0CKJMrICpsQaLWNgTrtMEw,https://api.spotify.com/v1/audio-analysis/0CKJMrICpsQaLWNgTrtMEw,232150,4
0.72,0.932,6,-6.662,1,0.0344,0.0295,0.0000906,0.0623,0.971,139.983,audio_features,2YZgNeUL6HhZ2GXFXFrA54,spotify:track:2YZgNeUL6HhZ2GXFXFrA54,https://api.spotify.com/v1/tracks/2YZgNeUL6HhZ2GXFXFrA54,https://api.spotify.com/v1/audio-analysis/2YZgNeUL6HhZ2GXFXFrA54,313313,4
0.572,0.44,7,-6.551,1,0.0278,0.759,0.000418,0.11,0.159,123.971,audio_features,0O5QyOgIdHKmEEBKgzpax1,spotify:track:0O5QyOgIdHKmEEBKgzpax1,https://api.spotify.com/v1/tracks/0O5QyOgIdHKmEEBKgzpax1,https://api.spotify.com/v1/audio-analysis/0O5QyOgIdHKmEEBKgzpax1,261127,4
0.652,0.577,5,-8.777,1,0.0261,0.437,0.000029,0.177,0.729,136.025,audio_features,7jicSC6UT9OzXcoiZUtD5r,spotify:track:7jicSC6UT9OzXcoiZUtD5r,https://api.spotify.com/v1/tracks/7jicSC6UT9OzXcoiZUtD5r,https://api.spotify.com/v1/audio-analysis/7jicSC6UT9OzXcoiZUtD5r,255882,4
0.597,0.509,2,-6.719,0,0.0295,0.539,0.0000395,0.0859,0.157,119.976,audio_features,0NabYWCY3zuKIKrFRWKlE0,spotify:track:0NabYWCY3zuKIKrFRWKlE0,https://api.spotify.com/v1/tracks/0NabYWCY3zuKIKrFRWKlE0,https://api.spotify.com/v1/audio-analysis/0NabYWCY3zuKIKrFRWKlE0,220826,4
0.578,0.663,10,-6.027,0,0.0278,0.0827,0.00322,0.335,0.445,98.955,audio_features,2OOSEG53qQpsQ1nWCkDcsO,spotify:track:2OOSEG53qQpsQ1nWCkDcsO,https://api.spotify.com/v1/tracks/2OOSEG53qQpsQ1nWCkDcsO,https://api.spotify.com/v1/audio-analysis/2OOSEG53qQpsQ1nWCkDcsO,217881,4
0.718,0.58,4,-9.06,1,0.0306,0.186,0.000347,0.246,0.853,142,audio_features,7fSbkQfB6AtfWSLHNFkPBE,spotify:track:7fSbkQfB6AtfWSLHNFkPBE,https://api.spotify.com/v1/tracks/7fSbkQfB6AtfWSLHNFkPBE,https://api.spotify.com/v1/audio-analysis/7fSbkQfB6AtfWSLHNFkPBE,261878,4
0.62,0.48,2,-9.675,1,0.0264,0.768,0.0000441,0.104,0.648,139.005,audio_features,2NbUVl8Z4Nqr9ZTN2GNO3x,spotify:track:2NbUVl8Z4Nqr9ZTN2GNO3x,https://api.spotify.com/v1/tracks/2NbUVl8Z4Nqr9ZTN2GNO3x,https://api.spotify.com/v1/audio-analysis/2NbUVl8Z4Nqr9ZTN2GNO3x,312518,4
0.514,0.977,2,-3.915,0,0.0427,0.335,0.00666,0.371,0.456,145.046,audio_features,7IggQch7J42O2hQZbn913l,spotify:track:7IggQch7J42O2hQZbn913l,https://api.spotify.com/v1/tracks/7IggQch7J42O2hQZbn913l,https://api.spotify.com/v1/audio-analysis/7IggQch7J42O2hQZbn913l,286345,4
0.718,0.634,7,-5.03,0,0.0353,0.798,0.00000972,0.144,0.713,147.996,audio_features,76nbds13SsCmApBefCMyjT,spotify:track:76nbds13SsCmApBefCMyjT,https://api.spotify.com/v1/tracks/76nbds13SsCmApBefCMyjT,https://api.spotify.com/v1/audio-analysis/76nbds13SsCmApBefCMyjT,268985,4
0.553,0.636,1,-5.752,1,0.0331,0.0494,0.0000114,0.376,0.225,139.937,audio_features,382PMa2caSArG4qjk4hl6U,spotify:track:382PMa2caSArG4qjk4hl6U,https://api.spotify.com/v1/tracks/382PMa2caSArG4qjk4hl6U,https://api.spotify.com/v1/audio-analysis/382PMa2caSArG4qjk4hl6U,305842,4
0.659,0.568,1,-5.603,0,0.0271,0.266,0.0000389,0.105,0.204,125.011,audio_features,3t2v2SovExl4jil2RfmwAC,spotify:track:3t2v2SovExl4jil2RfmwAC,https://api.spotify.com/v1/tracks/3t2v2SovExl4jil2RfmwAC,https://api.spotify.com/v1/audio-analysis/3t2v2SovExl4jil2RfmwAC,259483,4
0.667,0.699,10,-3.95,0,0.0263,0.185,0.00938,0.455,0.567,140.01,audio_features,4zdt3S9xD6gF2Zci7NTU3Y,spotify:track:4zdt3S9xD6gF2Zci7NTU3Y,https://api.spotify.com/v1/tracks/4zdt3S9xD6gF2Zci7NTU3Y,https://api.spotify.com/v1/audio-analysis/4zdt3S9xD6gF2Zci7NTU3Y,342146,4
0.692,0.718,3,-1.517,1,0.027,0.53,0.000123,0.119,0.674,138.106,audio_features,1cY3xNuQ19GIdc07ncfjCc,spotify:track:1cY3xNuQ19GIdc07ncfjCc,https://api.spotify.com/v1/tracks/1cY3xNuQ19GIdc07ncfjCc,https://api.spotify.com/v1/audio-analysis/1cY3xNuQ19GIdc07ncfjCc,326531,4
