"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.276,0.516,7,-10.929,1,0.0693,0.66,0.0000186,0.374,0.476,174.501,audio_features,2e4QI8DjaSi7D8QI2wlJjA,spotify:track:2e4QI8DjaSi7D8QI2wlJjA,https://api.spotify.com/v1/tracks/2e4QI8DjaSi7D8QI2wlJjA,https://api.spotify.com/v1/audio-analysis/2e4QI8DjaSi7D8QI2wlJjA,295640,4
0.59,0.813,4,-9.231,0,0.0635,0.314,0.000953,0.677,0.721,91.045,audio_features,4damRD1p29CoKJwra075vy,spotify:track:4damRD1p29CoKJwra075vy,https://api.spotify.com/v1/tracks/4damRD1p29CoKJwra075vy,https://api.spotify.com/v1/audio-analysis/4damRD1p29CoKJwra075vy,435067,4
0.499,0.647,7,-10.829,0,0.038,0.0093,0.000157,0.121,0.59,176.504,audio_features,7ALm86f7SQSJAQK4gRWBJd,spotify:track:7ALm86f7SQSJAQK4gRWBJd,https://api.spotify.com/v1/tracks/7ALm86f7SQSJAQK4gRWBJd,https://api.spotify.com/v1/audio-analysis/7ALm86f7SQSJAQK4gRWBJd,424360,4
0.604,0.708,5,-9.125,1,0.0407,0.237,0.00000806,0.216,0.903,150.001,audio_features,41BZ3ycDpPFmAg64vaBPJf,spotify:track:41BZ3ycDpPFmAg64vaBPJf,https://api.spotify.com/v1/tracks/41BZ3ycDpPFmAg64vaBPJf,https://api.spotify.com/v1/audio-analysis/41BZ3ycDpPFmAg64vaBPJf,295333,4
0.265,0.916,7,-9.941,0,0.115,0.266,0.186,0.467,0.488,173.372,audio_features,6PTJYW4yYZ20EBPT1iFj99,spotify:track:6PTJYW4yYZ20EBPT1iFj99,https://api.spotify.com/v1/tracks/6PTJYW4yYZ20EBPT1iFj99,https://api.spotify.com/v1/audio-analysis/6PTJYW4yYZ20EBPT1iFj99,304653,4
0.342,0.555,2,-7.051,0,0.0397,0.665,0,0.159,0.352,154.621,audio_features,1xU3wxkVWpaEdiDxn5hQUZ,spotify:track:1xU3wxkVWpaEdiDxn5hQUZ,https://api.spotify.com/v1/tracks/1xU3wxkVWpaEdiDxn5hQUZ,https://api.spotify.com/v1/audio-analysis/1xU3wxkVWpaEdiDxn5hQUZ,292440,4
0.529,0.708,4,-6.822,0,0.0323,0.391,0.000408,0.242,0.696,145.27,audio_features,3FBS20Ry5Cqc28GPBWY2LV,spotify:track:3FBS20Ry5Cqc28GPBWY2LV,https://api.spotify.com/v1/tracks/3FBS20Ry5Cqc28GPBWY2LV,https://api.spotify.com/v1/audio-analysis/3FBS20Ry5Cqc28GPBWY2LV,272147,4
0.318,0.767,3,-7.682,1,0.0389,0.326,0.0662,0.192,0.56,149.622,audio_features,1oHacuzIcnGLwef2jJnA4s,spotify:track:1oHacuzIcnGLwef2jJnA4s,https://api.spotify.com/v1/tracks/1oHacuzIcnGLwef2jJnA4s,https://api.spotify.com/v1/audio-analysis/1oHacuzIcnGLwef2jJnA4s,399160,4
0.353,0.921,5,-6.945,0,0.0633,0.395,0,0.766,0.881,172.042,audio_features,3NQlflan7ZmhML21PcJK1b,spotify:track:3NQlflan7ZmhML21PcJK1b,https://api.spotify.com/v1/tracks/3NQlflan7ZmhML21PcJK1b,https://api.spotify.com/v1/audio-analysis/3NQlflan7ZmhML21PcJK1b,274326,4
0.364,0.869,7,-10.091,0,0.0621,0.431,0.0516,0.363,0.899,174.74,audio_features,7Gh7iEtwnuqhJOi4cEoK1W,spotify:track:7Gh7iEtwnuqhJOi4cEoK1W,https://api.spotify.com/v1/tracks/7Gh7iEtwnuqhJOi4cEoK1W,https://api.spotify.com/v1/audio-analysis/7Gh7iEtwnuqhJOi4cEoK1W,266421,4
0.406,0.748,2,-9.704,0,0.0501,0.583,0.0246,0.0623,0.685,166.104,audio_features,49DzYthyBIsqGGf0yIKhAs,spotify:track:49DzYthyBIsqGGf0yIKhAs,https://api.spotify.com/v1/tracks/49DzYthyBIsqGGf0yIKhAs,https://api.spotify.com/v1/audio-analysis/49DzYthyBIsqGGf0yIKhAs,363253,4
0.51,0.877,4,-6.697,0,0.0363,0.678,0.455,0.371,0.896,152.287,audio_features,2tepGAR1kzHsrcBgSQ2RAB,spotify:track:2tepGAR1kzHsrcBgSQ2RAB,https://api.spotify.com/v1/tracks/2tepGAR1kzHsrcBgSQ2RAB,https://api.spotify.com/v1/audio-analysis/2tepGAR1kzHsrcBgSQ2RAB,390640,4
0.476,0.855,5,-6.077,0,0.0363,0.297,0.00000727,0.151,0.715,161.219,audio_features,0pT1oy2WApQ0OvqnTZ0tHV,spotify:track:0pT1oy2WApQ0OvqnTZ0tHV,https://api.spotify.com/v1/tracks/0pT1oy2WApQ0OvqnTZ0tHV,https://api.spotify.com/v1/audio-analysis/0pT1oy2WApQ0OvqnTZ0tHV,272840,4
0.377,0.809,9,-10.046,0,0.0436,0.593,0.0652,0.399,0.793,150.814,audio_features,5HASDnyHQsj1NtvpNP5JRf,spotify:track:5HASDnyHQsj1NtvpNP5JRf,https://api.spotify.com/v1/tracks/5HASDnyHQsj1NtvpNP5JRf,https://api.spotify.com/v1/audio-analysis/5HASDnyHQsj1NtvpNP5JRf,375280,4
0.621,0.592,2,-8.988,0,0.034,0.571,0.0000148,0.0992,0.895,137.333,audio_features,4HgSu7vpfuNQufS8pBFT1R,spotify:track:4HgSu7vpfuNQufS8pBFT1R,https://api.spotify.com/v1/tracks/4HgSu7vpfuNQufS8pBFT1R,https://api.spotify.com/v1/audio-analysis/4HgSu7vpfuNQufS8pBFT1R,275200,4
0.601,0.653,2,-10.167,1,0.034,0.736,0.0127,0.343,0.705,141.126,audio_features,2HH6pJfB3k0dX0HTMMfPyu,spotify:track:2HH6pJfB3k0dX0HTMMfPyu,https://api.spotify.com/v1/tracks/2HH6pJfB3k0dX0HTMMfPyu,https://api.spotify.com/v1/audio-analysis/2HH6pJfB3k0dX0HTMMfPyu,313960,4
0.4,0.615,4,-10.57,0,0.0443,0.337,0.000026,0.523,0.714,99.127,audio_features,7EbObxeHFCNphOENNT2C69,spotify:track:7EbObxeHFCNphOENNT2C69,https://api.spotify.com/v1/tracks/7EbObxeHFCNphOENNT2C69,https://api.spotify.com/v1/audio-analysis/7EbObxeHFCNphOENNT2C69,324840,4
0.576,0.651,2,-9.187,1,0.0342,0.000356,0.0801,0.257,0.81,141.485,audio_features,3EWZj3GNlDiU1Tvg2y20Wt,spotify:track:3EWZj3GNlDiU1Tvg2y20Wt,https://api.spotify.com/v1/tracks/3EWZj3GNlDiU1Tvg2y20Wt,https://api.spotify.com/v1/audio-analysis/3EWZj3GNlDiU1Tvg2y20Wt,311615,4
0.387,0.624,7,-10.22,0,0.0325,0.0292,0.000111,0.268,0.823,155.474,audio_features,2MX8TFHs3n38Quf0F0HP84,spotify:track:2MX8TFHs3n38Quf0F0HP84,https://api.spotify.com/v1/tracks/2MX8TFHs3n38Quf0F0HP84,https://api.spotify.com/v1/audio-analysis/2MX8TFHs3n38Quf0F0HP84,320680,4
