"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.734,0.768,0,-6.561,0,0.0509,0.303,0.324,0.345,0.854,153.052,audio_features,6xgiYtzbHgFpycDdSrgOuM,spotify:track:6xgiYtzbHgFpycDdSrgOuM,https://api.spotify.com/v1/tracks/6xgiYtzbHgFpycDdSrgOuM,https://api.spotify.com/v1/audio-analysis/6xgiYtzbHgFpycDdSrgOuM,270080,4,mona-ochan,Bojo Ketikung
0.641,0.743,4,-7.165,0,0.0394,0.28,0.53,0.478,0.665,184.05,audio_features,4OsX0EkhSSUnETr4xHajuW,spotify:track:4OsX0EkhSSUnETr4xHajuW,https://api.spotify.com/v1/tracks/4OsX0EkhSSUnETr4xHajuW,https://api.spotify.com/v1/audio-analysis/4OsX0EkhSSUnETr4xHajuW,395050,4,mona-ochan,Duwe Hp Ra Duwe Pulsa
0.692,0.877,4,-7.487,0,0.0334,0.0406,0.00992,0.464,0.841,149.988,audio_features,326bdA0Ae2DSMDLplzIdzO,spotify:track:326bdA0Ae2DSMDLplzIdzO,https://api.spotify.com/v1/tracks/326bdA0Ae2DSMDLplzIdzO,https://api.spotify.com/v1/audio-analysis/326bdA0Ae2DSMDLplzIdzO,369032,4,mona-ochan,Bara Bere
0.699,0.814,0,-4.134,0,0.0417,0.469,0,0.117,0.795,149.972,audio_features,7oPZgDCj0CBBNIbWNfrxaB,spotify:track:7oPZgDCj0CBBNIbWNfrxaB,https://api.spotify.com/v1/tracks/7oPZgDCj0CBBNIbWNfrxaB,https://api.spotify.com/v1/audio-analysis/7oPZgDCj0CBBNIbWNfrxaB,277708,4,mona-ochan,Bojo Ketikung
0.8,0.804,8,-3.852,1,0.0311,0.523,0.0000532,0.0967,0.942,140.059,audio_features,3sKmWjWEQwQ37dLYWykrkK,spotify:track:3sKmWjWEQwQ37dLYWykrkK,https://api.spotify.com/v1/tracks/3sKmWjWEQwQ37dLYWykrkK,https://api.spotify.com/v1/audio-analysis/3sKmWjWEQwQ37dLYWykrkK,286903,4,mona-ochan,Ra Mangan Sekolahan
0.623,0.711,4,-5.179,1,0.0382,0.651,0.00000159,0.136,0.801,140.052,audio_features,1DEPo1Ce6bAXh0C5U4B2oT,spotify:track:1DEPo1Ce6bAXh0C5U4B2oT,https://api.spotify.com/v1/tracks/1DEPo1Ce6bAXh0C5U4B2oT,https://api.spotify.com/v1/audio-analysis/1DEPo1Ce6bAXh0C5U4B2oT,269244,4,mona-ochan,Suket Teki
0.623,0.711,4,-5.18,1,0.0383,0.652,0.00000176,0.136,0.766,140.048,audio_features,65lup33UYpLFTL8P29OCMI,spotify:track:65lup33UYpLFTL8P29OCMI,https://api.spotify.com/v1/tracks/65lup33UYpLFTL8P29OCMI,https://api.spotify.com/v1/audio-analysis/65lup33UYpLFTL8P29OCMI,269244,4,mona-ochan,Suket Teki
0.8,0.805,8,-3.852,1,0.0311,0.523,0.0000583,0.0968,0.944,140.062,audio_features,4UHeqdchGUfecJGba3vZ1f,spotify:track:4UHeqdchGUfecJGba3vZ1f,https://api.spotify.com/v1/tracks/4UHeqdchGUfecJGba3vZ1f,https://api.spotify.com/v1/audio-analysis/4UHeqdchGUfecJGba3vZ1f,286903,4,mona-ochan,Ra Mangan Sekolahan
0.7,0.812,0,-4.153,0,0.0418,0.475,0,0.11,0.799,149.972,audio_features,66vdx2dVPeb2myG5NQnTxo,spotify:track:66vdx2dVPeb2myG5NQnTxo,https://api.spotify.com/v1/tracks/66vdx2dVPeb2myG5NQnTxo,https://api.spotify.com/v1/audio-analysis/66vdx2dVPeb2myG5NQnTxo,277708,4,mona-ochan,Bojo Ketikung
0.675,0.611,2,-8.407,0,0.0283,0.682,0.179,0.306,0.558,142.038,audio_features,5Lz1gnDwgEOnhVqzVjxFqJ,spotify:track:5Lz1gnDwgEOnhVqzVjxFqJ,https://api.spotify.com/v1/tracks/5Lz1gnDwgEOnhVqzVjxFqJ,https://api.spotify.com/v1/audio-analysis/5Lz1gnDwgEOnhVqzVjxFqJ,381720,4,mona-ochan,Antara Hitam Dan Putih
