"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.653,0.767,7,-3.077,1,0.0295,0.404,0,0.0709,0.56,135.048,audio_features,4qugiunnLafw7Ti03RQEYU,spotify:track:4qugiunnLafw7Ti03RQEYU,https://api.spotify.com/v1/tracks/4qugiunnLafw7Ti03RQEYU,https://api.spotify.com/v1/audio-analysis/4qugiunnLafw7Ti03RQEYU,260041,4
0.664,0.748,2,-3.103,1,0.0261,0.414,0,0.171,0.688,133.972,audio_features,2HUo9IL2mEuGFkPy03pj4Z,spotify:track:2HUo9IL2mEuGFkPy03pj4Z,https://api.spotify.com/v1/tracks/2HUo9IL2mEuGFkPy03pj4Z,https://api.spotify.com/v1/audio-analysis/2HUo9IL2mEuGFkPy03pj4Z,329402,4
0.632,0.761,2,-3.415,0,0.0284,0.275,0,0.159,0.645,139.963,audio_features,2Ym1T48qMpTiPZ6udqcQtQ,spotify:track:2Ym1T48qMpTiPZ6udqcQtQ,https://api.spotify.com/v1/tracks/2Ym1T48qMpTiPZ6udqcQtQ,https://api.spotify.com/v1/audio-analysis/2Ym1T48qMpTiPZ6udqcQtQ,291197,4
0.562,0.768,9,-2.923,1,0.0275,0.326,0,0.192,0.553,139.941,audio_features,2LhUmxGd98H6sCPCqo2fHJ,spotify:track:2LhUmxGd98H6sCPCqo2fHJ,https://api.spotify.com/v1/tracks/2LhUmxGd98H6sCPCqo2fHJ,https://api.spotify.com/v1/audio-analysis/2LhUmxGd98H6sCPCqo2fHJ,326219,4
0.65,0.74,5,-3.627,1,0.0256,0.483,0,0.308,0.569,132.008,audio_features,2ze2pAjOTHTZF6YRau2Vjg,spotify:track:2ze2pAjOTHTZF6YRau2Vjg,https://api.spotify.com/v1/tracks/2ze2pAjOTHTZF6YRau2Vjg,https://api.spotify.com/v1/audio-analysis/2ze2pAjOTHTZF6YRau2Vjg,310754,4
0.679,0.777,5,-3.802,0,0.0279,0.363,0,0.359,0.777,144.946,audio_features,28BkRJhn2RLqXwnedIB2v6,spotify:track:28BkRJhn2RLqXwnedIB2v6,https://api.spotify.com/v1/tracks/28BkRJhn2RLqXwnedIB2v6,https://api.spotify.com/v1/audio-analysis/28BkRJhn2RLqXwnedIB2v6,245700,4
0.702,0.765,1,-4.657,1,0.027,0.439,0,0.0781,0.765,130.005,audio_features,4ABAtVtMNDuVvLEMb7ljke,spotify:track:4ABAtVtMNDuVvLEMb7ljke,https://api.spotify.com/v1/tracks/4ABAtVtMNDuVvLEMb7ljke,https://api.spotify.com/v1/audio-analysis/4ABAtVtMNDuVvLEMb7ljke,281188,4
0.693,0.75,10,-4.072,0,0.0259,0.499,0.00000162,0.279,0.56,135.984,audio_features,4pxS8Re41fs1MVlSL7X4lV,spotify:track:4pxS8Re41fs1MVlSL7X4lV,https://api.spotify.com/v1/tracks/4pxS8Re41fs1MVlSL7X4lV,https://api.spotify.com/v1/audio-analysis/4pxS8Re41fs1MVlSL7X4lV,402805,4
0.624,0.626,4,-10.148,1,0.037,0.584,0,0.251,0.745,147.147,audio_features,5cNTDFFV8PUhn8jarY8U1s,spotify:track:5cNTDFFV8PUhn8jarY8U1s,https://api.spotify.com/v1/tracks/5cNTDFFV8PUhn8jarY8U1s,https://api.spotify.com/v1/audio-analysis/5cNTDFFV8PUhn8jarY8U1s,352920,4
0.692,0.282,4,-15.207,1,0.226,0.951,0,0.218,0.714,146.878,audio_features,0dIsNSZMH65cF3DVhcGAbC,spotify:track:0dIsNSZMH65cF3DVhcGAbC,https://api.spotify.com/v1/tracks/0dIsNSZMH65cF3DVhcGAbC,https://api.spotify.com/v1/audio-analysis/0dIsNSZMH65cF3DVhcGAbC,486713,4
0.372,0.776,4,-4.986,1,0.0471,0.189,0.000186,0.443,0.535,138.582,audio_features,2UDSKO8EDxqruer6XnaRxF,spotify:track:2UDSKO8EDxqruer6XnaRxF,https://api.spotify.com/v1/tracks/2UDSKO8EDxqruer6XnaRxF,https://api.spotify.com/v1/audio-analysis/2UDSKO8EDxqruer6XnaRxF,305296,4
0.404,0.743,4,-4.925,1,0.0383,0.727,0,0.543,0.604,138.735,audio_features,1ihqjqiDm9KTkXwQih5J0n,spotify:track:1ihqjqiDm9KTkXwQih5J0n,https://api.spotify.com/v1/tracks/1ihqjqiDm9KTkXwQih5J0n,https://api.spotify.com/v1/audio-analysis/1ihqjqiDm9KTkXwQih5J0n,299770,4
0.812,0.453,4,-11.338,1,0.0335,0.495,0,0.146,0.747,129.979,audio_features,4EsdZdc9f9sdfuGdZjlIwG,spotify:track:4EsdZdc9f9sdfuGdZjlIwG,https://api.spotify.com/v1/tracks/4EsdZdc9f9sdfuGdZjlIwG,https://api.spotify.com/v1/audio-analysis/4EsdZdc9f9sdfuGdZjlIwG,310497,4
0.558,0.521,4,-11.916,1,0.0545,0.265,0,0.441,0.719,144.69,audio_features,0fNWmwaQTHS9xTGxDkXTYo,spotify:track:0fNWmwaQTHS9xTGxDkXTYo,https://api.spotify.com/v1/tracks/0fNWmwaQTHS9xTGxDkXTYo,https://api.spotify.com/v1/audio-analysis/0fNWmwaQTHS9xTGxDkXTYo,263059,4
0.566,0.395,2,-10.284,1,0.0434,0.861,0.000523,0.123,0.575,128.455,audio_features,1ycNZnJa8vWwvtKNcouIc9,spotify:track:1ycNZnJa8vWwvtKNcouIc9,https://api.spotify.com/v1/tracks/1ycNZnJa8vWwvtKNcouIc9,https://api.spotify.com/v1/audio-analysis/1ycNZnJa8vWwvtKNcouIc9,296728,4
0.508,0.592,4,-6.998,1,0.0354,0.576,0,0.343,0.586,135.077,audio_features,6Vnyo2YyqyOR8rO33HLXBM,spotify:track:6Vnyo2YyqyOR8rO33HLXBM,https://api.spotify.com/v1/tracks/6Vnyo2YyqyOR8rO33HLXBM,https://api.spotify.com/v1/audio-analysis/6Vnyo2YyqyOR8rO33HLXBM,291294,4
0.538,0.457,4,-13.164,1,0.0349,0.332,0.0000136,0.237,0.562,140.714,audio_features,10xoOjjcsa9JkYzg8oO481,spotify:track:10xoOjjcsa9JkYzg8oO481,https://api.spotify.com/v1/tracks/10xoOjjcsa9JkYzg8oO481,https://api.spotify.com/v1/audio-analysis/10xoOjjcsa9JkYzg8oO481,297726,4
0.473,0.676,4,-9.501,1,0.0735,0.847,0.0613,0.235,0.825,144.606,audio_features,4tEa8jRFO7G153Yo7MR41t,spotify:track:4tEa8jRFO7G153Yo7MR41t,https://api.spotify.com/v1/tracks/4tEa8jRFO7G153Yo7MR41t,https://api.spotify.com/v1/audio-analysis/4tEa8jRFO7G153Yo7MR41t,296147,4
0.411,0.628,9,-10.899,1,0.0535,0.855,0.342,0.784,0.655,140.804,audio_features,0fl7klwEDZ2LhORQuf5xyZ,spotify:track:0fl7klwEDZ2LhORQuf5xyZ,https://api.spotify.com/v1/tracks/0fl7klwEDZ2LhORQuf5xyZ,https://api.spotify.com/v1/audio-analysis/0fl7klwEDZ2LhORQuf5xyZ,308129,4
0.397,0.707,4,-3.817,1,0.0401,0.108,0,0.164,0.576,148.031,audio_features,3GYcA8NyQj52wPgZPCsaTp,spotify:track:3GYcA8NyQj52wPgZPCsaTp,https://api.spotify.com/v1/tracks/3GYcA8NyQj52wPgZPCsaTp,https://api.spotify.com/v1/audio-analysis/3GYcA8NyQj52wPgZPCsaTp,286140,4
0.694,0.695,9,-4.736,0,0.0269,0.0877,0.00000492,0.186,0.567,129.001,audio_features,1mqnq6FLAsuf9NCuGNHzrM,spotify:track:1mqnq6FLAsuf9NCuGNHzrM,https://api.spotify.com/v1/tracks/1mqnq6FLAsuf9NCuGNHzrM,https://api.spotify.com/v1/audio-analysis/1mqnq6FLAsuf9NCuGNHzrM,390453,4
0.665,0.814,0,-3.65,1,0.0261,0.13,0,0.0677,0.943,139.992,audio_features,0H7QsmRAcI9qxjnkyKLpHe,spotify:track:0H7QsmRAcI9qxjnkyKLpHe,https://api.spotify.com/v1/tracks/0H7QsmRAcI9qxjnkyKLpHe,https://api.spotify.com/v1/audio-analysis/0H7QsmRAcI9qxjnkyKLpHe,317853,4
0.667,0.854,4,-3.172,1,0.0332,0.226,0,0.385,0.658,145.027,audio_features,6AcLR54Xao0WEE184sF53x,spotify:track:6AcLR54Xao0WEE184sF53x,https://api.spotify.com/v1/tracks/6AcLR54Xao0WEE184sF53x,https://api.spotify.com/v1/audio-analysis/6AcLR54Xao0WEE184sF53x,301662,4
0.645,0.739,6,-3.169,1,0.027,0.189,0,0.131,0.637,140.016,audio_features,5D3K02vCUyyMOT2Z1Iulft,spotify:track:5D3K02vCUyyMOT2Z1Iulft,https://api.spotify.com/v1/tracks/5D3K02vCUyyMOT2Z1Iulft,https://api.spotify.com/v1/audio-analysis/5D3K02vCUyyMOT2Z1Iulft,288000,4
0.621,0.888,5,-2.032,0,0.0277,0.353,0,0.464,0.685,139.946,audio_features,1l9cH1UpfRUgdAXn2fTNSF,spotify:track:1l9cH1UpfRUgdAXn2fTNSF,https://api.spotify.com/v1/tracks/1l9cH1UpfRUgdAXn2fTNSF,https://api.spotify.com/v1/audio-analysis/1l9cH1UpfRUgdAXn2fTNSF,237606,4
0.706,0.897,8,-3.159,1,0.0306,0.0693,0,0.14,0.753,139.991,audio_features,0QCgr2TVEz4DH8OoniECRH,spotify:track:0QCgr2TVEz4DH8OoniECRH,https://api.spotify.com/v1/tracks/0QCgr2TVEz4DH8OoniECRH,https://api.spotify.com/v1/audio-analysis/0QCgr2TVEz4DH8OoniECRH,296810,4
0.595,0.861,0,-3.116,1,0.0346,0.258,0,0.168,0.845,169.874,audio_features,5K5YSf7XDACmmtIHfJOszB,spotify:track:5K5YSf7XDACmmtIHfJOszB,https://api.spotify.com/v1/tracks/5K5YSf7XDACmmtIHfJOszB,https://api.spotify.com/v1/audio-analysis/5K5YSf7XDACmmtIHfJOszB,382324,4
0.671,0.847,1,-3.197,0,0.0278,0.243,0.00000113,0.122,0.743,94.989,audio_features,6aE5qYZCSc94XRFnT8MjdR,spotify:track:6aE5qYZCSc94XRFnT8MjdR,https://api.spotify.com/v1/tracks/6aE5qYZCSc94XRFnT8MjdR,https://api.spotify.com/v1/audio-analysis/6aE5qYZCSc94XRFnT8MjdR,311183,4
0.617,0.79,11,-3.74,0,0.0265,0.18,0,0.0669,0.57,144.971,audio_features,09V2pvOdOAL5KIGhNWa4dA,spotify:track:09V2pvOdOAL5KIGhNWa4dA,https://api.spotify.com/v1/tracks/09V2pvOdOAL5KIGhNWa4dA,https://api.spotify.com/v1/audio-analysis/09V2pvOdOAL5KIGhNWa4dA,360876,4
0.625,0.783,4,-4.504,1,0.0247,0.0524,0.00000745,0.0586,0.582,129.942,audio_features,4SZUksiIF28iA1hVyKl7mg,spotify:track:4SZUksiIF28iA1hVyKl7mg,https://api.spotify.com/v1/tracks/4SZUksiIF28iA1hVyKl7mg,https://api.spotify.com/v1/audio-analysis/4SZUksiIF28iA1hVyKl7mg,283110,4
0.539,0.877,1,-3.818,0,0.0352,0.0657,0.00000314,0.195,0.633,189.978,audio_features,1WSWoRPdImKtVRyRmpHfRH,spotify:track:1WSWoRPdImKtVRyRmpHfRH,https://api.spotify.com/v1/tracks/1WSWoRPdImKtVRyRmpHfRH,https://api.spotify.com/v1/audio-analysis/1WSWoRPdImKtVRyRmpHfRH,320529,4
0.725,0.824,10,-3.539,1,0.0266,0.294,0.0000039,0.304,0.642,129.994,audio_features,2zAk5Kg0h37qXWRnLufpav,spotify:track:2zAk5Kg0h37qXWRnLufpav,https://api.spotify.com/v1/tracks/2zAk5Kg0h37qXWRnLufpav,https://api.spotify.com/v1/audio-analysis/2zAk5Kg0h37qXWRnLufpav,360608,4
0.618,0.877,0,-3.404,1,0.0285,0.0494,0,0.103,0.829,155.007,audio_features,6DmLq295291vBvm5SiFSbb,spotify:track:6DmLq295291vBvm5SiFSbb,https://api.spotify.com/v1/tracks/6DmLq295291vBvm5SiFSbb,https://api.spotify.com/v1/audio-analysis/6DmLq295291vBvm5SiFSbb,278700,4
0.622,0.763,2,-4.121,0,0.0255,0.0557,0,0.0778,0.644,139.984,audio_features,4aYpB7EXJ5LN4yrk96SmK0,spotify:track:4aYpB7EXJ5LN4yrk96SmK0,https://api.spotify.com/v1/tracks/4aYpB7EXJ5LN4yrk96SmK0,https://api.spotify.com/v1/audio-analysis/4aYpB7EXJ5LN4yrk96SmK0,281188,4
0.604,0.868,9,-3.483,1,0.032,0.0661,0,0.0693,0.64,154.989,audio_features,73IjxPDqx12oB8NZbKSAcD,spotify:track:73IjxPDqx12oB8NZbKSAcD,https://api.spotify.com/v1/tracks/73IjxPDqx12oB8NZbKSAcD,https://api.spotify.com/v1/audio-analysis/73IjxPDqx12oB8NZbKSAcD,266697,4
0.615,0.911,2,-1.589,1,0.0411,0.303,0,0.255,0.619,162.948,audio_features,2hhyWV78rvTb92mIpvalf8,spotify:track:2hhyWV78rvTb92mIpvalf8,https://api.spotify.com/v1/tracks/2hhyWV78rvTb92mIpvalf8,https://api.spotify.com/v1/audio-analysis/2hhyWV78rvTb92mIpvalf8,322454,4
