"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.489,0.659,4,-9.526,0,0.0342,0.0986,0,0.154,0.816,100.465,audio_features,6k6HLPry1g5NJYgaXb1OEi,spotify:track:6k6HLPry1g5NJYgaXb1OEi,https://api.spotify.com/v1/tracks/6k6HLPry1g5NJYgaXb1OEi,https://api.spotify.com/v1/audio-analysis/6k6HLPry1g5NJYgaXb1OEi,394194,4,ratna-antika,Ra Kuwat Mbok
0.583,0.867,2,-8.712,0,0.0407,0.0676,0.0000437,0.114,0.757,153.46,audio_features,72TZ3dhH8fqBeQl5QBZeGZ,spotify:track:72TZ3dhH8fqBeQl5QBZeGZ,https://api.spotify.com/v1/tracks/72TZ3dhH8fqBeQl5QBZeGZ,https://api.spotify.com/v1/audio-analysis/72TZ3dhH8fqBeQl5QBZeGZ,193000,4,ratna-antika,Goyang 25 (Gojigo)
0.398,0.722,9,-9.875,0,0.0319,0.2,0.0000441,0.301,0.477,150.591,audio_features,4HC75B5Y18OwLt43uj8MMv,spotify:track:4HC75B5Y18OwLt43uj8MMv,https://api.spotify.com/v1/tracks/4HC75B5Y18OwLt43uj8MMv,https://api.spotify.com/v1/audio-analysis/4HC75B5Y18OwLt43uj8MMv,342042,4,ratna-antika,Kelangan
0.36,0.694,9,-9.4,0,0.0336,0.314,0.0000151,0.119,0.354,148.743,audio_features,5vyVAMlG7eKBflkDfzZ6wb,spotify:track:5vyVAMlG7eKBflkDfzZ6wb,https://api.spotify.com/v1/tracks/5vyVAMlG7eKBflkDfzZ6wb,https://api.spotify.com/v1/audio-analysis/5vyVAMlG7eKBflkDfzZ6wb,317117,4,ratna-antika,Ngobong Ati
0.57,0.752,10,-9.668,1,0.0352,0.0544,0.00000146,0.126,0.785,90.713,audio_features,71xMltkBQrzyztgB7jatri,spotify:track:71xMltkBQrzyztgB7jatri,https://api.spotify.com/v1/tracks/71xMltkBQrzyztgB7jatri,https://api.spotify.com/v1/audio-analysis/71xMltkBQrzyztgB7jatri,423490,4,ratna-antika,Rumangsamu Penak
0.486,0.786,5,-8.859,0,0.0362,0.0618,0.00000658,0.602,0.896,159.001,audio_features,3pLcrBwcCGEiUvsPxdtua4,spotify:track:3pLcrBwcCGEiUvsPxdtua4,https://api.spotify.com/v1/tracks/3pLcrBwcCGEiUvsPxdtua4,https://api.spotify.com/v1/audio-analysis/3pLcrBwcCGEiUvsPxdtua4,319886,4,ratna-antika,Selangkung Ronglangkung
0.457,0.636,9,-10.829,0,0.0381,0.0261,0.000922,0.0853,0.725,140.039,audio_features,6uCu8aHZfy6PzJMtvh4tuj,spotify:track:6uCu8aHZfy6PzJMtvh4tuj,https://api.spotify.com/v1/tracks/6uCu8aHZfy6PzJMtvh4tuj,https://api.spotify.com/v1/audio-analysis/6uCu8aHZfy6PzJMtvh4tuj,403383,4,ratna-antika,Ngelali
0.5,0.671,0,-10.617,0,0.0331,0.464,0.0689,0.301,0.891,140.161,audio_features,4NmbR4Xxx7eENAJCNMDIln,spotify:track:4NmbR4Xxx7eENAJCNMDIln,https://api.spotify.com/v1/tracks/4NmbR4Xxx7eENAJCNMDIln,https://api.spotify.com/v1/audio-analysis/4NmbR4Xxx7eENAJCNMDIln,366367,4,ratna-antika,Mawar Di Tangan Melati Di Pelukan
0.512,0.716,5,-9.748,0,0.0386,0.0998,0.0000349,0.0726,0.665,156.553,audio_features,35cTaMKcQeFXDVVMHCzM3o,spotify:track:35cTaMKcQeFXDVVMHCzM3o,https://api.spotify.com/v1/tracks/35cTaMKcQeFXDVVMHCzM3o,https://api.spotify.com/v1/audio-analysis/35cTaMKcQeFXDVVMHCzM3o,397664,4,ratna-antika,Bunga Warung
0.446,0.765,4,-10.024,0,0.0418,0.0562,0.339,0.203,0.482,144.693,audio_features,2BCNNqrU0xeJelnbKMdKtp,spotify:track:2BCNNqrU0xeJelnbKMdKtp,https://api.spotify.com/v1/tracks/2BCNNqrU0xeJelnbKMdKtp,https://api.spotify.com/v1/audio-analysis/2BCNNqrU0xeJelnbKMdKtp,264098,4,ratna-antika,Goyang Morena
