"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.475,0.903,0,-5.472,1,0.0514,0.296,0.000285,0.19,0.779,149.503,audio_features,2HDYO7FOFfia25mHgdnAqL,spotify:track:2HDYO7FOFfia25mHgdnAqL,https://api.spotify.com/v1/tracks/2HDYO7FOFfia25mHgdnAqL,https://api.spotify.com/v1/audio-analysis/2HDYO7FOFfia25mHgdnAqL,302040,4
0.399,0.87,1,-5.232,1,0.0379,0.21,0.000077,0.0741,0.615,142.022,audio_features,1qMgkwV9A5EmiIzqrXzjAN,spotify:track:1qMgkwV9A5EmiIzqrXzjAN,https://api.spotify.com/v1/tracks/1qMgkwV9A5EmiIzqrXzjAN,https://api.spotify.com/v1/audio-analysis/1qMgkwV9A5EmiIzqrXzjAN,366360,4
0.361,0.89,0,-5.879,0,0.051,0.433,0.000869,0.141,0.554,160.142,audio_features,1z003syXCEMmthkv3Ia2DY,spotify:track:1z003syXCEMmthkv3Ia2DY,https://api.spotify.com/v1/tracks/1z003syXCEMmthkv3Ia2DY,https://api.spotify.com/v1/audio-analysis/1z003syXCEMmthkv3Ia2DY,377160,4
0.544,0.846,1,-5.209,1,0.0628,0.235,0,0.109,0.964,147.295,audio_features,6NOPKH7I5oXbDHndsF0dNA,spotify:track:6NOPKH7I5oXbDHndsF0dNA,https://api.spotify.com/v1/tracks/6NOPKH7I5oXbDHndsF0dNA,https://api.spotify.com/v1/audio-analysis/6NOPKH7I5oXbDHndsF0dNA,342840,4
0.343,0.899,0,-5.154,0,0.0417,0.391,0.0264,0.147,0.577,142.659,audio_features,6MzxxxjBpStaDWjL2xzYMs,spotify:track:6MzxxxjBpStaDWjL2xzYMs,https://api.spotify.com/v1/tracks/6MzxxxjBpStaDWjL2xzYMs,https://api.spotify.com/v1/audio-analysis/6MzxxxjBpStaDWjL2xzYMs,281160,4
0.448,0.889,4,-5.493,0,0.04,0.276,0.000244,0.137,0.699,146.66,audio_features,0Glmd3jGpyj9yMSoXJRVGQ,spotify:track:0Glmd3jGpyj9yMSoXJRVGQ,https://api.spotify.com/v1/tracks/0Glmd3jGpyj9yMSoXJRVGQ,https://api.spotify.com/v1/audio-analysis/0Glmd3jGpyj9yMSoXJRVGQ,249720,4
0.521,0.871,0,-4.997,1,0.0417,0.439,0.0000249,0.18,0.961,140.977,audio_features,1eh5t5BvwfvR3cV5mqsrN5,spotify:track:1eh5t5BvwfvR3cV5mqsrN5,https://api.spotify.com/v1/tracks/1eh5t5BvwfvR3cV5mqsrN5,https://api.spotify.com/v1/audio-analysis/1eh5t5BvwfvR3cV5mqsrN5,293920,4
0.446,0.886,5,-4.939,1,0.0481,0.281,0.0000697,0.67,0.656,142.264,audio_features,3tARl9JwQSEyudjG5JyHpP,spotify:track:3tARl9JwQSEyudjG5JyHpP,https://api.spotify.com/v1/tracks/3tARl9JwQSEyudjG5JyHpP,https://api.spotify.com/v1/audio-analysis/3tARl9JwQSEyudjG5JyHpP,356160,4
0.299,0.896,11,-4.872,0,0.0444,0.133,0.000381,0.263,0.958,160.712,audio_features,4hQ49P9ArCMKvMNhAs7VTo,spotify:track:4hQ49P9ArCMKvMNhAs7VTo,https://api.spotify.com/v1/tracks/4hQ49P9ArCMKvMNhAs7VTo,https://api.spotify.com/v1/audio-analysis/4hQ49P9ArCMKvMNhAs7VTo,396240,4
0.485,0.848,5,-4.476,0,0.0396,0.313,0.000237,0.124,0.947,143.185,audio_features,2vlFP7R1j0qFoGDsMEMKbr,spotify:track:2vlFP7R1j0qFoGDsMEMKbr,https://api.spotify.com/v1/tracks/2vlFP7R1j0qFoGDsMEMKbr,https://api.spotify.com/v1/audio-analysis/2vlFP7R1j0qFoGDsMEMKbr,345960,4
