"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.762,0.525,9,-10.077,0,0.0365,0.0153,0.0000449,0.137,0.343,140.039,audio_features,4jsgAmKOEIwWUfqnzszQe9,spotify:track:4jsgAmKOEIwWUfqnzszQe9,https://api.spotify.com/v1/tracks/4jsgAmKOEIwWUfqnzszQe9,https://api.spotify.com/v1/audio-analysis/4jsgAmKOEIwWUfqnzszQe9,274449,4
0.778,0.639,9,-10.005,1,0.036,0.131,0,0.118,0.829,89.499,audio_features,1EGD11Qv8iTnrg9CBoUkjH,spotify:track:1EGD11Qv8iTnrg9CBoUkjH,https://api.spotify.com/v1/tracks/1EGD11Qv8iTnrg9CBoUkjH,https://api.spotify.com/v1/audio-analysis/1EGD11Qv8iTnrg9CBoUkjH,251291,4
0.802,0.767,7,-9.061,1,0.163,0.00855,0,0.757,0.741,140.045,audio_features,6Cu7Bp7pFKvDSBnQ1GzBnM,spotify:track:6Cu7Bp7pFKvDSBnQ1GzBnM,https://api.spotify.com/v1/tracks/6Cu7Bp7pFKvDSBnQ1GzBnM,https://api.spotify.com/v1/audio-analysis/6Cu7Bp7pFKvDSBnQ1GzBnM,249071,4
0.788,0.607,0,-8.827,1,0.117,0.245,0.00114,0.307,0.499,139.949,audio_features,4TtjJbbPDLJAkW4CuPoq1f,spotify:track:4TtjJbbPDLJAkW4CuPoq1f,https://api.spotify.com/v1/tracks/4TtjJbbPDLJAkW4CuPoq1f,https://api.spotify.com/v1/audio-analysis/4TtjJbbPDLJAkW4CuPoq1f,229817,4
0.783,0.674,4,-7.8,0,0.0429,0.0134,0.00246,0.106,0.74,139.955,audio_features,5aO3XsRn6er2VcBh8i1zg9,spotify:track:5aO3XsRn6er2VcBh8i1zg9,https://api.spotify.com/v1/tracks/5aO3XsRn6er2VcBh8i1zg9,https://api.spotify.com/v1/audio-analysis/5aO3XsRn6er2VcBh8i1zg9,226120,4
0.663,0.771,0,-7.543,1,0.0867,0.0257,0.00000276,0.379,0.429,139.849,audio_features,0FuDmYBZq2ve4d0SX0EnNk,spotify:track:0FuDmYBZq2ve4d0SX0EnNk,https://api.spotify.com/v1/tracks/0FuDmYBZq2ve4d0SX0EnNk,https://api.spotify.com/v1/audio-analysis/0FuDmYBZq2ve4d0SX0EnNk,239129,4
0.715,0.6,0,-9.211,1,0.042,0.0124,0.00155,0.268,0.841,139.991,audio_features,4tUo3TBSFxdJ3FJlFjXh2o,spotify:track:4tUo3TBSFxdJ3FJlFjXh2o,https://api.spotify.com/v1/tracks/4tUo3TBSFxdJ3FJlFjXh2o,https://api.spotify.com/v1/audio-analysis/4tUo3TBSFxdJ3FJlFjXh2o,214552,3
0.844,0.71,9,-8.991,0,0.0549,0.0514,0.00000246,0.0492,0.803,139.962,audio_features,6UhJff5KCcG76QYPoNesRo,spotify:track:6UhJff5KCcG76QYPoNesRo,https://api.spotify.com/v1/tracks/6UhJff5KCcG76QYPoNesRo,https://api.spotify.com/v1/audio-analysis/6UhJff5KCcG76QYPoNesRo,247422,4
0.78,0.571,4,-7.981,0,0.0999,0.123,0.00293,0.107,0.537,139.956,audio_features,6n0jDVlAOJ6jBjf2JsFLxB,spotify:track:6n0jDVlAOJ6jBjf2JsFLxB,https://api.spotify.com/v1/tracks/6n0jDVlAOJ6jBjf2JsFLxB,https://api.spotify.com/v1/audio-analysis/6n0jDVlAOJ6jBjf2JsFLxB,239577,4
0.789,0.555,9,-9.006,0,0.0418,0.19,0.000596,0.156,0.584,140.014,audio_features,2YLGlcd2B3kQEZHtYMRE2k,spotify:track:2YLGlcd2B3kQEZHtYMRE2k,https://api.spotify.com/v1/tracks/2YLGlcd2B3kQEZHtYMRE2k,https://api.spotify.com/v1/audio-analysis/2YLGlcd2B3kQEZHtYMRE2k,244016,4
