"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.631,0.927,9,-1.659,0,0.0364,0.317,0.0000677,0.122,0.738,150.046,audio_features,44LWBryqrecc8FONuv8Niw,spotify:track:44LWBryqrecc8FONuv8Niw,https://api.spotify.com/v1/tracks/44LWBryqrecc8FONuv8Niw,https://api.spotify.com/v1/audio-analysis/44LWBryqrecc8FONuv8Niw,383400,4
0.705,0.934,11,-1.902,0,0.119,0.0937,0,0.171,0.894,140.006,audio_features,70i5L1M96hwl7oEWOh72LQ,spotify:track:70i5L1M96hwl7oEWOh72LQ,https://api.spotify.com/v1/tracks/70i5L1M96hwl7oEWOh72LQ,https://api.spotify.com/v1/audio-analysis/70i5L1M96hwl7oEWOh72LQ,315957,4
0.621,0.939,2,-1.256,0,0.0585,0.169,0,0.0904,0.736,87.972,audio_features,4OyfNWGr2tcPSKuOgnrqTT,spotify:track:4OyfNWGr2tcPSKuOgnrqTT,https://api.spotify.com/v1/tracks/4OyfNWGr2tcPSKuOgnrqTT,https://api.spotify.com/v1/audio-analysis/4OyfNWGr2tcPSKuOgnrqTT,194199,4
0.618,0.905,5,-1.041,1,0.0428,0.139,0.00000246,0.0428,0.686,99.97,audio_features,2TjDTjYEvtErVlVI3Qb4F6,spotify:track:2TjDTjYEvtErVlVI3Qb4F6,https://api.spotify.com/v1/tracks/2TjDTjYEvtErVlVI3Qb4F6,https://api.spotify.com/v1/audio-analysis/2TjDTjYEvtErVlVI3Qb4F6,394100,4
0.684,0.982,11,0.347,0,0.183,0.526,0,0.0485,0.729,97.616,audio_features,5QFTOFRWtByymKR0Qj8s7R,spotify:track:5QFTOFRWtByymKR0Qj8s7R,https://api.spotify.com/v1/tracks/5QFTOFRWtByymKR0Qj8s7R,https://api.spotify.com/v1/audio-analysis/5QFTOFRWtByymKR0Qj8s7R,248409,4
0.732,0.864,6,-2.78,0,0.0392,0.0559,0.0000287,0.125,0.803,100.983,audio_features,44XHeBNkjRATiy9eezm9sw,spotify:track:44XHeBNkjRATiy9eezm9sw,https://api.spotify.com/v1/tracks/44XHeBNkjRATiy9eezm9sw,https://api.spotify.com/v1/audio-analysis/44XHeBNkjRATiy9eezm9sw,235362,4
0.639,0.891,4,-1.28,0,0.0453,0.428,0,0.0769,0.614,134.995,audio_features,27ReXLaOu7Jf1eZIVVBJAX,spotify:track:27ReXLaOu7Jf1eZIVVBJAX,https://api.spotify.com/v1/tracks/27ReXLaOu7Jf1eZIVVBJAX,https://api.spotify.com/v1/audio-analysis/27ReXLaOu7Jf1eZIVVBJAX,350944,4
0.639,0.595,1,-12.596,1,0.0332,0.0206,0.000019,0.369,0.849,97.508,audio_features,1UacYDEVJLmWh8XO7cqb9L,spotify:track:1UacYDEVJLmWh8XO7cqb9L,https://api.spotify.com/v1/tracks/1UacYDEVJLmWh8XO7cqb9L,https://api.spotify.com/v1/audio-analysis/1UacYDEVJLmWh8XO7cqb9L,304000,4
0.55,0.521,5,-14.817,1,0.0382,0.109,0.236,0.367,0.859,180.008,audio_features,3dniS6TuRfSuS4SIHOShCo,spotify:track:3dniS6TuRfSuS4SIHOShCo,https://api.spotify.com/v1/tracks/3dniS6TuRfSuS4SIHOShCo,https://api.spotify.com/v1/audio-analysis/3dniS6TuRfSuS4SIHOShCo,320000,4
0.68,0.457,10,-14.912,1,0.03,0.0754,0.000115,0.132,0.576,136.996,audio_features,1r1SKKKNQIqYg3LQ7BFc4S,spotify:track:1r1SKKKNQIqYg3LQ7BFc4S,https://api.spotify.com/v1/tracks/1r1SKKKNQIqYg3LQ7BFc4S,https://api.spotify.com/v1/audio-analysis/1r1SKKKNQIqYg3LQ7BFc4S,388000,4
0.582,0.611,7,-13.885,0,0.0368,0.00972,0.0264,0.0862,0.956,97.527,audio_features,56wCoTMzxLX1aj4apqZWcI,spotify:track:56wCoTMzxLX1aj4apqZWcI,https://api.spotify.com/v1/tracks/56wCoTMzxLX1aj4apqZWcI,https://api.spotify.com/v1/audio-analysis/56wCoTMzxLX1aj4apqZWcI,274000,4
0.557,0.495,4,-14.107,0,0.0325,0.0175,0.0000493,0.204,0.507,173.018,audio_features,7vwfrq5UuXg8eLlcn3ZxbC,spotify:track:7vwfrq5UuXg8eLlcn3ZxbC,https://api.spotify.com/v1/tracks/7vwfrq5UuXg8eLlcn3ZxbC,https://api.spotify.com/v1/audio-analysis/7vwfrq5UuXg8eLlcn3ZxbC,312000,4
0.645,0.481,4,-14.406,0,0.0347,0.0117,0.00193,0.109,0.85,155.013,audio_features,4ZtY4teGFckKrvxVkpk7St,spotify:track:4ZtY4teGFckKrvxVkpk7St,https://api.spotify.com/v1/tracks/4ZtY4teGFckKrvxVkpk7St,https://api.spotify.com/v1/audio-analysis/4ZtY4teGFckKrvxVkpk7St,336000,4
0.681,0.651,4,-6.457,0,0.0266,0.00514,0.0000325,0.295,0.684,94.998,audio_features,67VAPpgRgforBAbH0A5woO,spotify:track:67VAPpgRgforBAbH0A5woO,https://api.spotify.com/v1/tracks/67VAPpgRgforBAbH0A5woO,https://api.spotify.com/v1/audio-analysis/67VAPpgRgforBAbH0A5woO,322000,4
0.656,0.609,5,-13.068,1,0.0343,0.00552,0.000722,0.192,0.896,97.495,audio_features,1lFQkw00ghUXOdkyw0tDjh,spotify:track:1lFQkw00ghUXOdkyw0tDjh,https://api.spotify.com/v1/tracks/1lFQkw00ghUXOdkyw0tDjh,https://api.spotify.com/v1/audio-analysis/1lFQkw00ghUXOdkyw0tDjh,292000,4
0.487,0.598,2,-5.831,0,0.0292,0.0429,0.0674,0.226,0.67,131.238,audio_features,2sT5766OTim7vklgB2Ly2G,spotify:track:2sT5766OTim7vklgB2Ly2G,https://api.spotify.com/v1/tracks/2sT5766OTim7vklgB2Ly2G,https://api.spotify.com/v1/audio-analysis/2sT5766OTim7vklgB2Ly2G,356624,4
0.451,0.798,5,-5.221,0,0.0366,0.123,0.0185,0.338,0.572,99.146,audio_features,6COcWR1wT0SSxUs4ga0waO,spotify:track:6COcWR1wT0SSxUs4ga0waO,https://api.spotify.com/v1/tracks/6COcWR1wT0SSxUs4ga0waO,https://api.spotify.com/v1/audio-analysis/6COcWR1wT0SSxUs4ga0waO,385985,4
0.364,0.832,0,-3.941,1,0.0347,0.037,0.00026,0.458,0.67,173.109,audio_features,1WLwH2H9gQTmZ8kxBEK8Yc,spotify:track:1WLwH2H9gQTmZ8kxBEK8Yc,https://api.spotify.com/v1/tracks/1WLwH2H9gQTmZ8kxBEK8Yc,https://api.spotify.com/v1/audio-analysis/1WLwH2H9gQTmZ8kxBEK8Yc,388441,4
0.618,0.792,1,-5.571,1,0.0346,0.105,0.000368,0.204,0.732,138.689,audio_features,72dZQf7idhZId1ARDi9LMx,spotify:track:72dZQf7idhZId1ARDi9LMx,https://api.spotify.com/v1/tracks/72dZQf7idhZId1ARDi9LMx,https://api.spotify.com/v1/audio-analysis/72dZQf7idhZId1ARDi9LMx,363651,4
0.48,0.797,2,-4.162,0,0.0332,0.00361,0,0.109,0.79,148.027,audio_features,5iq8boA4RxiyIb9mqGhSES,spotify:track:5iq8boA4RxiyIb9mqGhSES,https://api.spotify.com/v1/tracks/5iq8boA4RxiyIb9mqGhSES,https://api.spotify.com/v1/audio-analysis/5iq8boA4RxiyIb9mqGhSES,413414,4
0.425,0.915,9,-2.808,0,0.0364,0.0279,0.00353,0.427,0.821,151.733,audio_features,24ZGhtVDcay9xcWjNmeE9R,spotify:track:24ZGhtVDcay9xcWjNmeE9R,https://api.spotify.com/v1/tracks/24ZGhtVDcay9xcWjNmeE9R,https://api.spotify.com/v1/audio-analysis/24ZGhtVDcay9xcWjNmeE9R,268696,4
0.539,0.827,2,-1.946,0,0.0313,0.0456,0.00445,0.0811,0.856,137.144,audio_features,7bczJ5PCbPRF4oLgkAMoNI,spotify:track:7bczJ5PCbPRF4oLgkAMoNI,https://api.spotify.com/v1/tracks/7bczJ5PCbPRF4oLgkAMoNI,https://api.spotify.com/v1/audio-analysis/7bczJ5PCbPRF4oLgkAMoNI,273763,4
0.615,0.925,5,-1.583,1,0.0317,0.0555,0.0528,0.335,0.681,148.476,audio_features,2lLtFGPXQuGBRDBNuYe0wX,spotify:track:2lLtFGPXQuGBRDBNuYe0wX,https://api.spotify.com/v1/tracks/2lLtFGPXQuGBRDBNuYe0wX,https://api.spotify.com/v1/audio-analysis/2lLtFGPXQuGBRDBNuYe0wX,269845,4
0.541,0.824,0,-4.965,0,0.0295,0.119,0.000974,0.206,0.702,138.944,audio_features,59T1RTBUJWv6bbXG2tC3LJ,spotify:track:59T1RTBUJWv6bbXG2tC3LJ,https://api.spotify.com/v1/tracks/59T1RTBUJWv6bbXG2tC3LJ,https://api.spotify.com/v1/audio-analysis/59T1RTBUJWv6bbXG2tC3LJ,227318,4
0.499,0.86,0,-3.977,1,0.0385,0.215,0.000011,0.878,0.657,170.408,audio_features,6va1alWIcH41YTKUycSrH8,spotify:track:6va1alWIcH41YTKUycSrH8,https://api.spotify.com/v1/tracks/6va1alWIcH41YTKUycSrH8,https://api.spotify.com/v1/audio-analysis/6va1alWIcH41YTKUycSrH8,224784,4
0.593,0.821,0,-4.661,1,0.0423,0.0855,0,0.706,0.622,108.537,audio_features,6Auob319eqtm4XgO96AUq1,spotify:track:6Auob319eqtm4XgO96AUq1,https://api.spotify.com/v1/tracks/6Auob319eqtm4XgO96AUq1,https://api.spotify.com/v1/audio-analysis/6Auob319eqtm4XgO96AUq1,301296,4
0.549,0.755,4,-5.007,1,0.0366,0.27,0.0000898,0.33,0.735,136.583,audio_features,7ob11ObJBXNNVS2uYTh0Wo,spotify:track:7ob11ObJBXNNVS2uYTh0Wo,https://api.spotify.com/v1/tracks/7ob11ObJBXNNVS2uYTh0Wo,https://api.spotify.com/v1/audio-analysis/7ob11ObJBXNNVS2uYTh0Wo,385933,4
0.502,0.821,7,-4.988,0,0.0314,0.297,0.0000139,0.466,0.709,145.439,audio_features,2EfPlMLyRD4mLBSzk2TZwq,spotify:track:2EfPlMLyRD4mLBSzk2TZwq,https://api.spotify.com/v1/tracks/2EfPlMLyRD4mLBSzk2TZwq,https://api.spotify.com/v1/audio-analysis/2EfPlMLyRD4mLBSzk2TZwq,332042,4
0.466,0.901,9,-4.104,0,0.0411,0.316,0.000281,0.273,0.596,166.625,audio_features,6bsCyKMn8VNxoFfM83jx5N,spotify:track:6bsCyKMn8VNxoFfM83jx5N,https://api.spotify.com/v1/tracks/6bsCyKMn8VNxoFfM83jx5N,https://api.spotify.com/v1/audio-analysis/6bsCyKMn8VNxoFfM83jx5N,464065,4
0.309,0.872,9,-5.411,0,0.0371,0.438,0.00692,0.221,0.493,172.113,audio_features,4VE3veWDCyHpOhxTdatHdS,spotify:track:4VE3veWDCyHpOhxTdatHdS,https://api.spotify.com/v1/tracks/4VE3veWDCyHpOhxTdatHdS,https://api.spotify.com/v1/audio-analysis/4VE3veWDCyHpOhxTdatHdS,418769,4
0.337,0.854,4,-5.436,0,0.0352,0.117,0.0000891,0.666,0.766,151.233,audio_features,7wcOws0Z2GUA55LKrKZVcN,spotify:track:7wcOws0Z2GUA55LKrKZVcN,https://api.spotify.com/v1/tracks/7wcOws0Z2GUA55LKrKZVcN,https://api.spotify.com/v1/audio-analysis/7wcOws0Z2GUA55LKrKZVcN,206289,4
0.419,0.771,5,-5.64,0,0.0328,0.314,0.0000965,0.207,0.511,130.797,audio_features,3hB18ocSo7sAxnUNDUcT9A,spotify:track:3hB18ocSo7sAxnUNDUcT9A,https://api.spotify.com/v1/tracks/3hB18ocSo7sAxnUNDUcT9A,https://api.spotify.com/v1/audio-analysis/3hB18ocSo7sAxnUNDUcT9A,304536,4
0.473,0.809,4,-5.617,0,0.0408,0.356,0.00000362,0.342,0.303,97.064,audio_features,7DbvlILRjp2ILuC7oZFlEr,spotify:track:7DbvlILRjp2ILuC7oZFlEr,https://api.spotify.com/v1/tracks/7DbvlILRjp2ILuC7oZFlEr,https://api.spotify.com/v1/audio-analysis/7DbvlILRjp2ILuC7oZFlEr,261930,4
0.504,0.54,9,-6.437,1,0.0267,0.478,0.0000124,0.166,0.171,149.969,audio_features,3hSyva9KLrEPAKwOQC0CZW,spotify:track:3hSyva9KLrEPAKwOQC0CZW,https://api.spotify.com/v1/tracks/3hSyva9KLrEPAKwOQC0CZW,https://api.spotify.com/v1/audio-analysis/3hSyva9KLrEPAKwOQC0CZW,290080,4
0.541,0.611,4,-7.365,0,0.0261,0.0292,0.000136,0.345,0.569,97.074,audio_features,65AOs7sU8x6L3NKXJhntnR,spotify:track:65AOs7sU8x6L3NKXJhntnR,https://api.spotify.com/v1/tracks/65AOs7sU8x6L3NKXJhntnR,https://api.spotify.com/v1/audio-analysis/65AOs7sU8x6L3NKXJhntnR,333133,4
0.617,0.611,4,-6.159,0,0.0254,0.216,0.000821,0.152,0.592,97.017,audio_features,7yuX7Qw85FkHJwHElawvVu,spotify:track:7yuX7Qw85FkHJwHElawvVu,https://api.spotify.com/v1/tracks/7yuX7Qw85FkHJwHElawvVu,https://api.spotify.com/v1/audio-analysis/7yuX7Qw85FkHJwHElawvVu,247213,4
0.594,0.752,4,-2.85,0,0.0328,0.105,0.0000221,0.528,0.664,134.93,audio_features,112m8z4u049Hc0oWlnV466,spotify:track:112m8z4u049Hc0oWlnV466,https://api.spotify.com/v1/tracks/112m8z4u049Hc0oWlnV466,https://api.spotify.com/v1/audio-analysis/112m8z4u049Hc0oWlnV466,202787,4
0.553,0.645,11,-5.08,1,0.0358,0.631,0,0.122,0.519,139.953,audio_features,5PGQIgPzLPkfsgCzFmjmHj,spotify:track:5PGQIgPzLPkfsgCzFmjmHj,https://api.spotify.com/v1/tracks/5PGQIgPzLPkfsgCzFmjmHj,https://api.spotify.com/v1/audio-analysis/5PGQIgPzLPkfsgCzFmjmHj,305143,4
0.652,0.895,2,-2.883,0,0.0391,0.00788,0,0.987,0.775,105.987,audio_features,6bJMVgUakk5GJ2mldmz6dY,spotify:track:6bJMVgUakk5GJ2mldmz6dY,https://api.spotify.com/v1/tracks/6bJMVgUakk5GJ2mldmz6dY,https://api.spotify.com/v1/audio-analysis/6bJMVgUakk5GJ2mldmz6dY,326038,4
