"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.39,0.774,2,-3.829,1,0.0372,0.0346,0.0238,0.227,0.374,135.043,audio_features,3OPcSRuHmjFE07qWBq7exs,spotify:track:3OPcSRuHmjFE07qWBq7exs,https://api.spotify.com/v1/tracks/3OPcSRuHmjFE07qWBq7exs,https://api.spotify.com/v1/audio-analysis/3OPcSRuHmjFE07qWBq7exs,248889,4,sodiq-pantura,Pantai Gemah
0.494,0.828,9,-3.622,1,0.0444,0.0688,0.00593,0.322,0.531,145.065,audio_features,7hWESexb5o0FX7XyXS8OLQ,spotify:track:7hWESexb5o0FX7XyXS8OLQ,https://api.spotify.com/v1/tracks/7hWESexb5o0FX7XyXS8OLQ,https://api.spotify.com/v1/audio-analysis/7hWESexb5o0FX7XyXS8OLQ,283035,4,sodiq-pantura,Kenangan Parangtritis
0.667,0.731,8,-5.983,1,0.0274,0.147,0.014,0.133,0.882,145.034,audio_features,4xpApNuZUAwvvhWKGe71pl,spotify:track:4xpApNuZUAwvvhWKGe71pl,https://api.spotify.com/v1/tracks/4xpApNuZUAwvvhWKGe71pl,https://api.spotify.com/v1/audio-analysis/4xpApNuZUAwvvhWKGe71pl,264828,4,sodiq-pantura,Kangen Suarane
0.615,0.742,0,-5.713,1,0.0302,0.0593,0.0000145,0.129,0.61,145.05,audio_features,3LbQDxYzy6li0KUUZLSR2I,spotify:track:3LbQDxYzy6li0KUUZLSR2I,https://api.spotify.com/v1/tracks/3LbQDxYzy6li0KUUZLSR2I,https://api.spotify.com/v1/audio-analysis/3LbQDxYzy6li0KUUZLSR2I,248276,4,sodiq-pantura,Kesengsem
0.534,0.754,11,-5.078,0,0.0401,0.13,0.5,0.0705,0.68,185.052,audio_features,4mRUrx4HCpz15QqyUYO9TP,spotify:track:4mRUrx4HCpz15QqyUYO9TP,https://api.spotify.com/v1/tracks/4mRUrx4HCpz15QqyUYO9TP,https://api.spotify.com/v1/audio-analysis/4mRUrx4HCpz15QqyUYO9TP,330811,4,sodiq-pantura,Prahoro
0.621,0.668,4,-6.23,1,0.0277,0.245,0.403,0.311,0.812,144.983,audio_features,24WBDhec7JXmK0yeiovvyf,spotify:track:24WBDhec7JXmK0yeiovvyf,https://api.spotify.com/v1/tracks/24WBDhec7JXmK0yeiovvyf,https://api.spotify.com/v1/audio-analysis/24WBDhec7JXmK0yeiovvyf,314483,4,sodiq-pantura,Jembatan Wijaya Kusuma
0.678,0.535,11,-7.442,1,0.0298,0.649,0.689,0.19,0.702,126.019,audio_features,0XGOjDUBJFLwXlnY6Ul5LI,spotify:track:0XGOjDUBJFLwXlnY6Ul5LI,https://api.spotify.com/v1/tracks/0XGOjDUBJFLwXlnY6Ul5LI,https://api.spotify.com/v1/audio-analysis/0XGOjDUBJFLwXlnY6Ul5LI,380375,4,sodiq-pantura,Tresno Adoh Paran
0.607,0.481,5,-6.798,1,0.0273,0.407,0.00207,0.415,0.326,119.982,audio_features,274a5V4rhgwm5bs08Rlvjn,spotify:track:274a5V4rhgwm5bs08Rlvjn,https://api.spotify.com/v1/tracks/274a5V4rhgwm5bs08Rlvjn,https://api.spotify.com/v1/audio-analysis/274a5V4rhgwm5bs08Rlvjn,238240,4,sodiq-pantura,Tresnoku Kepenggak Itungan Jowo
0.647,0.684,2,-7.298,1,0.0256,0.179,0.0176,0.0646,0.781,135.021,audio_features,2i7S5OdFSFTWUTFmIjP8ck,spotify:track:2i7S5OdFSFTWUTFmIjP8ck,https://api.spotify.com/v1/tracks/2i7S5OdFSFTWUTFmIjP8ck,https://api.spotify.com/v1/audio-analysis/2i7S5OdFSFTWUTFmIjP8ck,275556,4,sodiq-pantura,Lereng Kelud
0.677,0.705,7,-4.487,1,0.0257,0.385,0.000101,0.35,0.404,129.942,audio_features,0evx6ElvddbS4uovJOZaUI,spotify:track:0evx6ElvddbS4uovJOZaUI,https://api.spotify.com/v1/tracks/0evx6ElvddbS4uovJOZaUI,https://api.spotify.com/v1/audio-analysis/0evx6ElvddbS4uovJOZaUI,338769,4,sodiq-pantura,Bromo Ninggal Janji
