"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.612,0.787,6,-4.026,1,0.033,0.247,0.0000285,0.552,0.556,149.947,audio_features,7bXkppxTtrKF1OKA91xxJA,spotify:track:7bXkppxTtrKF1OKA91xxJA,https://api.spotify.com/v1/tracks/7bXkppxTtrKF1OKA91xxJA,https://api.spotify.com/v1/audio-analysis/7bXkppxTtrKF1OKA91xxJA,369385,4
0.743,0.617,0,-5.868,0,0.0272,0.577,0.000774,0.14,0.467,122.007,audio_features,1PGvDgQD5PaVDfkuUc2MKU,spotify:track:1PGvDgQD5PaVDfkuUc2MKU,https://api.spotify.com/v1/tracks/1PGvDgQD5PaVDfkuUc2MKU,https://api.spotify.com/v1/audio-analysis/1PGvDgQD5PaVDfkuUc2MKU,225121,4
0.637,0.667,6,-4.529,1,0.0274,0.549,0.00000936,0.166,0.381,134.941,audio_features,4c0J0hBJFZGtJKkLnIl4yX,spotify:track:4c0J0hBJFZGtJKkLnIl4yX,https://api.spotify.com/v1/tracks/4c0J0hBJFZGtJKkLnIl4yX,https://api.spotify.com/v1/audio-analysis/4c0J0hBJFZGtJKkLnIl4yX,295921,4
0.608,0.705,11,-4.317,0,0.0305,0.339,0.000143,0.359,0.591,139.862,audio_features,7KqzC1bSRVMymrP5y0Xxr0,spotify:track:7KqzC1bSRVMymrP5y0Xxr0,https://api.spotify.com/v1/tracks/7KqzC1bSRVMymrP5y0Xxr0,https://api.spotify.com/v1/audio-analysis/7KqzC1bSRVMymrP5y0Xxr0,257113,4
0.713,0.623,9,-5.329,0,0.0266,0.627,0.000781,0.145,0.461,124.975,audio_features,5VD2by7wVVW672QGGXgyDf,spotify:track:5VD2by7wVVW672QGGXgyDf,https://api.spotify.com/v1/tracks/5VD2by7wVVW672QGGXgyDf,https://api.spotify.com/v1/audio-analysis/5VD2by7wVVW672QGGXgyDf,404545,4
0.635,0.749,7,-4.852,0,0.0288,0.444,0.00122,0.498,0.442,142.993,audio_features,2s58QYMmavO5XnKUGuYS8o,spotify:track:2s58QYMmavO5XnKUGuYS8o,https://api.spotify.com/v1/tracks/2s58QYMmavO5XnKUGuYS8o,https://api.spotify.com/v1/audio-analysis/2s58QYMmavO5XnKUGuYS8o,279193,4
0.637,0.67,5,-4.44,1,0.0248,0.558,0.000281,0.133,0.466,139.917,audio_features,11Dj591VSnC1ROSRcoKj42,spotify:track:11Dj591VSnC1ROSRcoKj42,https://api.spotify.com/v1/tracks/11Dj591VSnC1ROSRcoKj42,https://api.spotify.com/v1/audio-analysis/11Dj591VSnC1ROSRcoKj42,200929,4
0.646,0.716,1,-4.759,1,0.0262,0.616,0.00000552,0.283,0.696,144.975,audio_features,1BqBW23tz0AjwAXjVSe38I,spotify:track:1BqBW23tz0AjwAXjVSe38I,https://api.spotify.com/v1/tracks/1BqBW23tz0AjwAXjVSe38I,https://api.spotify.com/v1/audio-analysis/1BqBW23tz0AjwAXjVSe38I,274393,4
0.723,0.738,2,-4.083,0,0.0287,0.315,0.0000025,0.182,0.818,145.038,audio_features,5eTM7bzboYrdjVPxDrgVBW,spotify:track:5eTM7bzboYrdjVPxDrgVBW,https://api.spotify.com/v1/tracks/5eTM7bzboYrdjVPxDrgVBW,https://api.spotify.com/v1/audio-analysis/5eTM7bzboYrdjVPxDrgVBW,238465,4
0.59,0.743,0,-4.271,1,0.0327,0.362,0.0000434,0.186,0.538,165.005,audio_features,54saCe70XQEnEg861UJWz3,spotify:track:54saCe70XQEnEg861UJWz3,https://api.spotify.com/v1/tracks/54saCe70XQEnEg861UJWz3,https://api.spotify.com/v1/audio-analysis/54saCe70XQEnEg861UJWz3,275953,4
