"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.59,0.809,5,-4.337,0,0.0271,0.173,0.000676,0.474,0.645,134.972,audio_features,1HKswbsEZqrq57Dca8kPDh,spotify:track:1HKswbsEZqrq57Dca8kPDh,https://api.spotify.com/v1/tracks/1HKswbsEZqrq57Dca8kPDh,https://api.spotify.com/v1/audio-analysis/1HKswbsEZqrq57Dca8kPDh,337636,4,vita-kdi,Lilo Sun Lilo
0.633,0.816,2,-4.949,1,0.0285,0.185,0.00232,0.13,0.911,140.004,audio_features,5XMLdw7v1o5lwsUTpGGyZO,spotify:track:5XMLdw7v1o5lwsUTpGGyZO,https://api.spotify.com/v1/tracks/5XMLdw7v1o5lwsUTpGGyZO,https://api.spotify.com/v1/audio-analysis/5XMLdw7v1o5lwsUTpGGyZO,355854,4,vita-kdi,Koyo Langit Ambi Bumi
0.663,0.768,2,-4.496,0,0.0284,0.3,0.00309,0.307,0.845,135.044,audio_features,3PCy1a4hqmMvFyTswrbrUE,spotify:track:3PCy1a4hqmMvFyTswrbrUE,https://api.spotify.com/v1/tracks/3PCy1a4hqmMvFyTswrbrUE,https://api.spotify.com/v1/audio-analysis/3PCy1a4hqmMvFyTswrbrUE,234360,4,vita-kdi,Pucuke Asmoro (feat. Lilis Fernanda)
0.673,0.727,7,-5.319,1,0.0307,0.587,0.0948,0.352,0.889,134.03,audio_features,5fbzVLnXZAGp6glTsCbhls,spotify:track:5fbzVLnXZAGp6glTsCbhls,https://api.spotify.com/v1/tracks/5fbzVLnXZAGp6glTsCbhls,https://api.spotify.com/v1/audio-analysis/5fbzVLnXZAGp6glTsCbhls,381319,4,vita-kdi,Aku Kangen Bojomu
0.599,0.845,8,-5.5,1,0.0288,0.481,0.000194,0.294,0.853,147.089,audio_features,47s6h6MywD2AIsSO4prxbf,spotify:track:47s6h6MywD2AIsSO4prxbf,https://api.spotify.com/v1/tracks/47s6h6MywD2AIsSO4prxbf,https://api.spotify.com/v1/audio-analysis/47s6h6MywD2AIsSO4prxbf,420295,4,vita-kdi,Cukup Rogo Isun
0.676,0.747,9,-5.04,1,0.0288,0.224,0.00336,0.0855,0.836,129.977,audio_features,0WP7Xntp9rIN919KNg6rwy,spotify:track:0WP7Xntp9rIN919KNg6rwy,https://api.spotify.com/v1/tracks/0WP7Xntp9rIN919KNg6rwy,https://api.spotify.com/v1/audio-analysis/0WP7Xntp9rIN919KNg6rwy,373629,4,vita-kdi,Lagu Rindu (feat. Vita Kdi)
0.637,0.75,0,-4.509,1,0.0268,0.36,0.00111,0.397,0.709,128.024,audio_features,3O6AsBr1SHJiS6HU5GlGc7,spotify:track:3O6AsBr1SHJiS6HU5GlGc7,https://api.spotify.com/v1/tracks/3O6AsBr1SHJiS6HU5GlGc7,https://api.spotify.com/v1/audio-analysis/3O6AsBr1SHJiS6HU5GlGc7,286154,4,vita-kdi,Lakune Jodho
0.575,0.805,9,-4.454,1,0.03,0.397,0.00441,0.172,0.863,149.984,audio_features,0V5eE4Ltenu6NniZ3XNjOC,spotify:track:0V5eE4Ltenu6NniZ3XNjOC,https://api.spotify.com/v1/tracks/0V5eE4Ltenu6NniZ3XNjOC,https://api.spotify.com/v1/audio-analysis/0V5eE4Ltenu6NniZ3XNjOC,342019,4,vita-kdi,Gemantunge Roso
0.665,0.771,11,-4.481,0,0.0327,0.34,0.00499,0.164,0.784,125.99,audio_features,0F07VLPZQs5p1IF0j5P29o,spotify:track:0F07VLPZQs5p1IF0j5P29o,https://api.spotify.com/v1/tracks/0F07VLPZQs5p1IF0j5P29o,https://api.spotify.com/v1/audio-analysis/0F07VLPZQs5p1IF0j5P29o,278369,4,vita-kdi,Remember You
0.585,0.794,1,-5.026,0,0.0291,0.32,0.000618,0.16,0.769,134.057,audio_features,1ddU8T38ssliZejbcwAobj,spotify:track:1ddU8T38ssliZejbcwAobj,https://api.spotify.com/v1/tracks/1ddU8T38ssliZejbcwAobj,https://api.spotify.com/v1/audio-analysis/1ddU8T38ssliZejbcwAobj,367576,4,vita-kdi,Ojo Nguber Welase
