"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.785,0.971,5,0.72,0,0.0616,0.552,0,0.113,0.724,105.029,audio_features,4ir1obQPRXqJeAp02seXfp,spotify:track:4ir1obQPRXqJeAp02seXfp,https://api.spotify.com/v1/tracks/4ir1obQPRXqJeAp02seXfp,https://api.spotify.com/v1/audio-analysis/4ir1obQPRXqJeAp02seXfp,318040,4,wiwik-sagita,Goyang Oplosan
0.747,0.92,0,-1.209,1,0.063,0.403,0.0000226,0.135,0.641,104.989,audio_features,2Y3Q4iMFLMwgEyyocUNjHA,spotify:track:2Y3Q4iMFLMwgEyyocUNjHA,https://api.spotify.com/v1/tracks/2Y3Q4iMFLMwgEyyocUNjHA,https://api.spotify.com/v1/audio-analysis/2Y3Q4iMFLMwgEyyocUNjHA,321040,4,wiwik-sagita,Simalakama
0.752,0.864,8,-1.278,1,0.0597,0.401,0,0.0784,0.922,150.034,audio_features,61EXsCQ02qk7ffTWRGhQoy,spotify:track:61EXsCQ02qk7ffTWRGhQoy,https://api.spotify.com/v1/tracks/61EXsCQ02qk7ffTWRGhQoy,https://api.spotify.com/v1/audio-analysis/61EXsCQ02qk7ffTWRGhQoy,325360,4,wiwik-sagita,Di Reject
0.643,0.981,5,-3.582,0,0.044,0.17,0.0000034,0.119,0.86,160.055,audio_features,6aprVyUNzXR1rPFYRhz95u,spotify:track:6aprVyUNzXR1rPFYRhz95u,https://api.spotify.com/v1/tracks/6aprVyUNzXR1rPFYRhz95u,https://api.spotify.com/v1/audio-analysis/6aprVyUNzXR1rPFYRhz95u,241760,4,wiwik-sagita,1 Jam Saja
0.699,0.973,4,-0.966,0,0.0527,0.383,0.0000411,0.197,0.828,155.04,audio_features,4oPpMztZmjcoR7dgKaT8ai,spotify:track:4oPpMztZmjcoR7dgKaT8ai,https://api.spotify.com/v1/tracks/4oPpMztZmjcoR7dgKaT8ai,https://api.spotify.com/v1/audio-analysis/4oPpMztZmjcoR7dgKaT8ai,281120,4,wiwik-sagita,Bara - Bere
0.653,0.884,7,-1.359,0,0.0404,0.199,0,0.108,0.895,149.907,audio_features,6oaJYPfC1jYhOQazxn5RRh,spotify:track:6oaJYPfC1jYhOQazxn5RRh,https://api.spotify.com/v1/tracks/6oaJYPfC1jYhOQazxn5RRh,https://api.spotify.com/v1/audio-analysis/6oaJYPfC1jYhOQazxn5RRh,287360,4,wiwik-sagita,Ngidam Pentol
0.658,0.948,5,-0.264,1,0.0636,0.226,0.00000523,0.136,0.539,95.022,audio_features,3sb8Ilo1TO4IZd9oUMiWNC,spotify:track:3sb8Ilo1TO4IZd9oUMiWNC,https://api.spotify.com/v1/tracks/3sb8Ilo1TO4IZd9oUMiWNC,https://api.spotify.com/v1/audio-analysis/3sb8Ilo1TO4IZd9oUMiWNC,325120,4,wiwik-sagita,Masalalu 2
0.672,0.942,6,-0.527,0,0.0811,0.483,0.0000053,0.592,0.77,160.076,audio_features,1Xzn5HxyB8zTu0ycJi6cIc,spotify:track:1Xzn5HxyB8zTu0ycJi6cIc,https://api.spotify.com/v1/tracks/1Xzn5HxyB8zTu0ycJi6cIc,https://api.spotify.com/v1/audio-analysis/1Xzn5HxyB8zTu0ycJi6cIc,269160,4,wiwik-sagita,Anti Galau
0.676,0.939,10,-1.107,1,0.0994,0.338,0,0.155,0.592,180.093,audio_features,1FJOCz1qzLdXCYElUGsEP7,spotify:track:1FJOCz1qzLdXCYElUGsEP7,https://api.spotify.com/v1/tracks/1FJOCz1qzLdXCYElUGsEP7,https://api.spotify.com/v1/audio-analysis/1FJOCz1qzLdXCYElUGsEP7,263200,4,wiwik-sagita,Ojo Gondelan Aku
0.721,0.932,4,0.095,0,0.187,0.512,0,0.458,0.855,149.77,audio_features,36ZVMPWIYIvVaDQEEDr5E2,spotify:track:36ZVMPWIYIvVaDQEEDr5E2,https://api.spotify.com/v1/tracks/36ZVMPWIYIvVaDQEEDr5E2,https://api.spotify.com/v1/audio-analysis/36ZVMPWIYIvVaDQEEDr5E2,291000,4,wiwik-sagita,Ora Pateken
0.59,0.655,4,-3.398,0,0.0296,0.503,0.000546,0.116,0.869,160.036,audio_features,4aoqAaEk5hOUHiPyldOZ8l,spotify:track:4aoqAaEk5hOUHiPyldOZ8l,https://api.spotify.com/v1/tracks/4aoqAaEk5hOUHiPyldOZ8l,https://api.spotify.com/v1/audio-analysis/4aoqAaEk5hOUHiPyldOZ8l,342400,4,wiwik-sagita,Wedhus
0.669,0.667,5,-3.383,0,0.0282,0.373,0.0000407,0.292,0.669,140.023,audio_features,35zBpANDVEUscQzIiSCN0P,spotify:track:35zBpANDVEUscQzIiSCN0P,https://api.spotify.com/v1/tracks/35zBpANDVEUscQzIiSCN0P,https://api.spotify.com/v1/audio-analysis/35zBpANDVEUscQzIiSCN0P,284280,4,wiwik-sagita,Bojomu Cemburu
0.701,0.789,0,-3.3,0,0.0295,0.64,0.00166,0.108,0.784,100.063,audio_features,0fChYWObhdUdMAR1Z2Z0i3,spotify:track:0fChYWObhdUdMAR1Z2Z0i3,https://api.spotify.com/v1/tracks/0fChYWObhdUdMAR1Z2Z0i3,https://api.spotify.com/v1/audio-analysis/0fChYWObhdUdMAR1Z2Z0i3,365360,4,wiwik-sagita,Ndemok Bokong
0.598,0.753,6,-3.196,0,0.0287,0.517,0.00000266,0.202,0.605,144.982,audio_features,5ux0957uAcyzuSAoCy9Vmu,spotify:track:5ux0957uAcyzuSAoCy9Vmu,https://api.spotify.com/v1/tracks/5ux0957uAcyzuSAoCy9Vmu,https://api.spotify.com/v1/audio-analysis/5ux0957uAcyzuSAoCy9Vmu,230640,4,wiwik-sagita,Kau Terindah
0.606,0.679,9,-3.33,0,0.0273,0.604,0.0000239,0.625,0.486,135.033,audio_features,4q8vcFP3ER0ezIWAiN5jv3,spotify:track:4q8vcFP3ER0ezIWAiN5jv3,https://api.spotify.com/v1/tracks/4q8vcFP3ER0ezIWAiN5jv3,https://api.spotify.com/v1/audio-analysis/4q8vcFP3ER0ezIWAiN5jv3,306520,4,wiwik-sagita,Balekno Bojoku
0.623,0.615,5,-7.418,0,0.0305,0.471,0.00792,0.17,0.594,111.987,audio_features,5TSj37aP97adXEh9Ppk6WG,spotify:track:5TSj37aP97adXEh9Ppk6WG,https://api.spotify.com/v1/tracks/5TSj37aP97adXEh9Ppk6WG,https://api.spotify.com/v1/audio-analysis/5TSj37aP97adXEh9Ppk6WG,272240,4,wiwik-sagita,Perahu Tak Berlayar
0.541,0.683,11,-5.559,0,0.0306,0.548,0.0403,0.853,0.775,170.027,audio_features,67vOLy1yf0ZSWFTyEuomR5,spotify:track:67vOLy1yf0ZSWFTyEuomR5,https://api.spotify.com/v1/tracks/67vOLy1yf0ZSWFTyEuomR5,https://api.spotify.com/v1/audio-analysis/67vOLy1yf0ZSWFTyEuomR5,363600,4,wiwik-sagita,Gayung Tak Bersambut
0.597,0.637,0,-5.483,1,0.03,0.408,0.000145,0.321,0.509,139.971,audio_features,4hNYsV7rFzFqaWQ1xBPHy1,spotify:track:4hNYsV7rFzFqaWQ1xBPHy1,https://api.spotify.com/v1/tracks/4hNYsV7rFzFqaWQ1xBPHy1,https://api.spotify.com/v1/audio-analysis/4hNYsV7rFzFqaWQ1xBPHy1,299240,4,wiwik-sagita,Bui Cinta
0.819,0.846,9,-2.003,0,0.029,0.516,0.00000411,0.278,0.661,112.018,audio_features,2U2Ze7YtHUz7zeAhvGLjhT,spotify:track:2U2Ze7YtHUz7zeAhvGLjhT,https://api.spotify.com/v1/tracks/2U2Ze7YtHUz7zeAhvGLjhT,https://api.spotify.com/v1/audio-analysis/2U2Ze7YtHUz7zeAhvGLjhT,285200,4,wiwik-sagita,Suami Nakal
0.56,0.78,10,-3.5,0,0.0354,0.599,0.00166,0.587,0.598,95.043,audio_features,35PE4OAouajzxjPGhDp6LD,spotify:track:35PE4OAouajzxjPGhDp6LD,https://api.spotify.com/v1/tracks/35PE4OAouajzxjPGhDp6LD,https://api.spotify.com/v1/audio-analysis/35PE4OAouajzxjPGhDp6LD,309600,4,wiwik-sagita,Masa Lalu 3
