"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.549,0.576,9,-10.134,1,0.0323,0.244,0.000181,0.348,0.945,175.085,audio_features,6oIPIUAwkXyoVYQG1Oz1M2,spotify:track:6oIPIUAwkXyoVYQG1Oz1M2,https://api.spotify.com/v1/tracks/6oIPIUAwkXyoVYQG1Oz1M2,https://api.spotify.com/v1/audio-analysis/6oIPIUAwkXyoVYQG1Oz1M2,297000,4,yuni-ayunda,Jangan Bilang Siapa-Siapa
0.71,0.469,4,-10.361,0,0.0309,0.315,0.0000774,0.277,0.784,121.955,audio_features,5ZlyFWFjAyV7tYmv73STpZ,spotify:track:5ZlyFWFjAyV7tYmv73STpZ,https://api.spotify.com/v1/tracks/5ZlyFWFjAyV7tYmv73STpZ,https://api.spotify.com/v1/audio-analysis/5ZlyFWFjAyV7tYmv73STpZ,261000,4,yuni-ayunda,Maafkan
0.745,0.498,2,-10.94,1,0.0352,0.526,0.027,0.248,0.925,124.56,audio_features,3eF0oJGq4SOUAAs6yUM947,spotify:track:3eF0oJGq4SOUAAs6yUM947,https://api.spotify.com/v1/tracks/3eF0oJGq4SOUAAs6yUM947,https://api.spotify.com/v1/audio-analysis/3eF0oJGq4SOUAAs6yUM947,320000,4,yuni-ayunda,Pertemuan Pertama
0.708,0.336,0,-12.528,1,0.0291,0.0876,0,0.142,0.285,105.957,audio_features,4agwGrZCwfJm31mqE3guXQ,spotify:track:4agwGrZCwfJm31mqE3guXQ,https://api.spotify.com/v1/tracks/4agwGrZCwfJm31mqE3guXQ,https://api.spotify.com/v1/audio-analysis/4agwGrZCwfJm31mqE3guXQ,373000,4,yuni-ayunda,Renungan Cinta
0.675,0.591,4,-9.676,0,0.0255,0.326,0,0.134,0.771,102.949,audio_features,4HkAxrhZttHogyEeDh10rI,spotify:track:4HkAxrhZttHogyEeDh10rI,https://api.spotify.com/v1/tracks/4HkAxrhZttHogyEeDh10rI,https://api.spotify.com/v1/audio-analysis/4HkAxrhZttHogyEeDh10rI,259000,4,yuni-ayunda,Goyang Dangdut
0.581,0.728,0,-6.978,1,0.0277,0.227,0.0708,0.518,0.861,137.841,audio_features,27Hi7r2oefuYGSoEVPNNZe,spotify:track:27Hi7r2oefuYGSoEVPNNZe,https://api.spotify.com/v1/tracks/27Hi7r2oefuYGSoEVPNNZe,https://api.spotify.com/v1/audio-analysis/27Hi7r2oefuYGSoEVPNNZe,323000,4,yuni-ayunda,Bukan Tak Mampu
0.603,0.656,7,-10.058,1,0.0303,0.0944,0.00856,0.325,0.963,151.974,audio_features,4gqR51Xlk5SHtnlEiZHKBy,spotify:track:4gqR51Xlk5SHtnlEiZHKBy,https://api.spotify.com/v1/tracks/4gqR51Xlk5SHtnlEiZHKBy,https://api.spotify.com/v1/audio-analysis/4gqR51Xlk5SHtnlEiZHKBy,364000,4,yuni-ayunda,Menyatu Dalam Kasih
0.517,0.55,5,-8.208,1,0.0281,0.165,0,0.265,0.752,189.89,audio_features,5qiNtvS3mcf8kcM5vFZwDA,spotify:track:5qiNtvS3mcf8kcM5vFZwDA,https://api.spotify.com/v1/tracks/5qiNtvS3mcf8kcM5vFZwDA,https://api.spotify.com/v1/audio-analysis/5qiNtvS3mcf8kcM5vFZwDA,316000,4,yuni-ayunda,Arum Dalu
0.398,0.737,2,-6.656,0,0.0436,0.187,0.00000362,0.167,0.726,164.411,audio_features,6QpEWiDN4vfdp2lvYF7cJt,spotify:track:6QpEWiDN4vfdp2lvYF7cJt,https://api.spotify.com/v1/tracks/6QpEWiDN4vfdp2lvYF7cJt,https://api.spotify.com/v1/audio-analysis/6QpEWiDN4vfdp2lvYF7cJt,422426,4,yuni-ayunda,Wedi Karo Bojomu (feat. Via Vallen)
0.401,0.645,4,-7.578,0,0.0505,0.215,0.0432,0.126,0.887,174.759,audio_features,38VCHwx67r4ixB3jRcxYlE,spotify:track:38VCHwx67r4ixB3jRcxYlE,https://api.spotify.com/v1/tracks/38VCHwx67r4ixB3jRcxYlE,https://api.spotify.com/v1/audio-analysis/38VCHwx67r4ixB3jRcxYlE,356415,4,yuni-ayunda,Wedhus (feat. Ikif Kawashima)
